date,lay,liquidate,miser,owe,recession
2004-06-05,66.2456082037,0.0,5.14077198938,0.0,0.0
2004-06-06,51.5243619362,0.0,0.0,0.0,6.39891403894
2004-06-07,34.3495746241,0.0,0.0,3.85555585718,3.19945701947
2004-06-08,73.6062313374,0.0,0.0,5.78333378578,14.3975565876
2004-06-09,45.3905093247,0.0,0.0,0.0,3.19945701947
2004-06-10,30.6692630573,0.0,0.0,1.92777792859,7.99864254867
2004-06-11,39.2566567133,0.0,0.0,4.81944482148,3.19945701947
2004-06-12,58.8849850699,0.0,0.0,0.0,6.39891403894
2004-06-13,63.7920671591,0.0,0.0,7.71111171437,0.0
2004-06-14,53.9779029808,0.0,0.0,3.85555585718,6.39891403894
2004-06-15,31.8960335796,0.0,0.0,1.92777792859,6.39891403894
2004-06-16,46.617279847,0.0,0.0,3.85555585718,6.39891403894
2004-06-17,50.2975914139,0.0,3.21298249336,1.92777792859,7.99864254867
2004-06-18,62.5652966368,0.0,0.0,1.92777792859,3.19945701947
2004-06-19,63.7920671591,0.0,0.0,0.0,0.0
2004-06-20,45.3905093247,0.0,5.14077198938,3.85555585718,6.39891403894
2004-06-21,65.0188376814,0.0,1.28519299734,1.92777792859,3.19945701947
2004-06-22,42.9369682802,0.0,1.28519299734,0.0,6.39891403894
2004-06-23,55.2046735031,0.0,2.57038599469,3.85555585718,0.0
2004-06-24,47.8440503693,0.0,0.0,1.92777792859,0.0
2004-06-25,50.2975914139,0.0,1.28519299734,0.0,3.19945701947
2004-06-26,14.7212462675,0.0,0.0,0.0,0.0
2004-06-27,35.5763451464,0.0,5.14077198938,3.85555585718,6.39891403894
2004-06-28,40.4834272356,0.0,0.0,1.92777792859,11.1980995681
2004-06-29,58.8849850699,0.0,1.28519299734,1.92777792859,3.19945701947
2004-06-30,41.7101977579,0.0,1.28519299734,6.74722275007,6.39891403894
2004-07-01,60.1117555922,0.0,0.0,1.92777792859,0.0
2004-07-02,42.9369682802,0.0,0.0,2.89166689289,7.99864254867
2004-07-03,25.7621809681,0.0,0.0,0.0,12.7978280779
2004-07-04,26.9889514904,0.0,0.0,0.0,6.39891403894
2004-07-05,40.4834272356,0.0,0.0,3.85555585718,0.0
2004-07-06,40.4834272356,0.0,0.0,8.67500067866,6.39891403894
2004-07-07,82.1936249935,0.0,2.57038599469,0.0,6.39891403894
2004-07-08,122.677052229,0.0,1.28519299734,8.67500067866,11.1980995681
2004-07-09,90.7810186495,0.0,0.0,0.0,3.19945701947
2004-07-10,65.0188376814,0.0,0.0,10.6027786073,6.39891403894
2004-07-11,69.9259197706,0.0,0.0,0.0,0.0
2004-07-12,63.7920671591,0.0,1.28519299734,5.78333378578,3.19945701947
2004-07-13,65.0188376814,0.0,3.85557899203,0.0,9.59837105841
2004-07-14,80.9668544712,0.0,0.0,0.0,0.0
2004-07-15,31.8960335796,0.0,0.0,2.89166689289,0.0
2004-07-16,35.5763451464,0.0,0.0,1.92777792859,0.0
2004-07-17,60.1117555922,0.0,0.0,0.0,0.0
2004-07-18,41.7101977579,0.0,0.0,0.0,6.39891403894
2004-07-19,52.7511324585,0.0,1.28519299734,0.0,3.19945701947
2004-07-20,41.7101977579,0.0,2.57038599469,1.92777792859,0.0
2004-07-21,52.7511324585,0.0,1.28519299734,3.85555585718,3.19945701947
2004-07-22,11.0409347006,0.0,2.57038599469,1.92777792859,3.19945701947
2004-07-23,40.4834272356,0.0,0.0,1.92777792859,7.99864254867
2004-07-24,55.2046735031,0.0,0.0,3.85555585718,17.5970136071
2004-07-25,41.7101977579,0.0,0.0,0.0,6.39891403894
2004-07-26,44.1637388025,0.0,0.0,4.81944482148,3.19945701947
2004-07-27,44.1637388025,0.0,0.0,5.78333378578,0.0
2004-07-28,44.1637388025,0.0,0.0,1.92777792859,3.19945701947
2004-07-29,53.9779029808,0.0,0.0,0.0,3.19945701947
2004-07-30,35.5763451464,0.0,1.28519299734,0.0,3.19945701947
2004-07-31,51.5243619362,0.0,2.57038599469,3.85555585718,12.7978280779
2004-08-01,56.4314440254,0.0,0.0,0.0,12.7978280779
2004-08-02,36.8031156687,0.0,1.28519299734,5.78333378578,14.3975565876
2004-08-03,41.7101977579,0.0,0.0,1.92777792859,9.59837105841
2004-08-04,36.8031156687,0.0,2.57038599469,1.92777792859,3.19945701947
2004-08-05,38.029886191,0.0,4.4981754907,0.0,3.19945701947
2004-08-06,42.9369682802,0.0,1.28519299734,0.0,7.99864254867
2004-08-07,28.2157220127,0.0,2.57038599469,7.71111171437,0.0
2004-08-08,23.3086399235,0.0,0.0,0.0,0.0
