date,hustle,hustler,inflation,jobless,laid
2004-07-08,8.04495404999,114.20495017,87.1371983541,1.66132322003,57.6749327032
2004-07-09,29.49816485,77.0883413648,71.2940713807,0.99679393202,31.7212129868
2004-07-10,0.0,122.770321433,44.8888597582,0.0,63.4424259736
2004-07-11,0.0,159.886930238,44.8888597582,2.99038179606,49.0236927977
2004-07-12,0.0,91.3639601361,76.5751137052,0.0,77.8611591494
2004-07-13,13.40825675,82.7985888733,89.7777195164,0.0,34.6049596219
2004-07-14,0.0,182.727920272,29.0457327847,0.0,31.7212129868
2004-07-15,0.0,37.1166088053,68.6535502184,0.99679393202,20.1862264461
2004-07-16,8.04495404999,94.2190838903,50.1699020827,0.0,23.0699730813
2004-07-17,0.0,85.6537126276,68.6535502184,0.0,25.9537197165
2004-07-18,24.13486215,219.844529077,102.980325328,0.0,37.4887062571
2004-07-19,26.8165135,68.5229701021,44.8888597582,0.664529288013,28.8374663516
2004-07-20,13.40825675,62.8127225936,81.8561560296,1.66132322003,20.1862264461
2004-07-21,5.3633027,105.639578907,84.4966771919,0.664529288013,34.6049596219
2004-07-22,0.0,94.2190838903,66.0130290562,0.0,8.65123990549
2004-07-23,0.0,68.5229701021,100.339804165,0.0,31.7212129868
2004-07-24,0.0,134.19081645,34.3267751092,0.0,0.0
2004-07-25,24.13486215,148.466435221,113.542409977,0.0,49.0236927977
2004-07-26,13.40825675,74.2332176106,121.463973463,0.99679393202,51.9074394329
2004-07-27,18.77155945,128.480568941,95.0587618409,0.0,20.1862264461
2004-07-28,18.77155945,102.784455153,50.1699020827,0.0,14.4187331758
2004-07-29,21.4532108,79.9434651191,47.5293809204,1.66132322003,43.2561995274
2004-07-30,13.40825675,117.060073924,87.1371983541,0.0,23.0699730813
2004-07-31,0.0,134.19081645,55.4509444072,1.32905857603,49.0236927977
2004-08-01,24.13486215,122.770321433,34.3267751092,0.0,25.9537197165
2004-08-02,5.3633027,125.625445187,44.8888597582,0.0,57.6749327032
2004-08-03,18.77155945,117.060073924,58.0914655694,0.0,20.1862264461
2004-08-04,0.0,91.3639601361,84.4966771919,0.0,28.8374663516
2004-08-05,21.4532108,94.2190838903,39.6078174337,0.99679393202,28.8374663516
2004-08-06,21.4532108,77.0883413648,55.4509444072,0.0,37.4887062571
2004-08-07,0.0,85.6537126276,68.6535502184,0.0,11.5349865406
2004-08-08,0.0,125.625445187,10.562084649,1.32905857603,51.9074394329
2004-08-09,0.0,57.1024750851,52.8104232449,0.664529288013,43.2561995274
2004-08-10,0.0,94.2190838903,87.1371983541,0.0,40.3724528923
2004-08-11,13.40825675,88.5088363818,63.3725078939,0.0,63.4424259736
2004-08-12,13.40825675,105.639578907,44.8888597582,0.0,34.6049596219
2004-08-13,0.0,134.19081645,34.3267751092,0.0,28.8374663516
2004-08-14,10.7266054,191.293291535,31.686253947,0.0,23.0699730813
2004-08-15,0.0,122.770321433,68.6535502184,0.0,25.9537197165
2004-08-16,26.8165135,54.2473513308,89.7777195164,0.0,40.3724528923
2004-08-17,13.40825675,59.9575988393,50.1699020827,0.0,63.4424259736
2004-08-18,13.40825675,108.494702662,68.6535502184,0.664529288013,28.8374663516
2004-08-19,13.40825675,111.349826416,84.4966771919,0.0,28.8374663516
2004-08-20,21.4532108,82.7985888733,60.7319867317,0.99679393202,23.0699730813
2004-08-21,42.9064216,68.5229701021,105.62084649,0.0,46.1399461626
2004-08-22,0.0,71.3780938563,31.686253947,1.32905857603,60.5586793384
2004-08-23,5.3633027,102.784455153,63.3725078939,0.0,20.1862264461
2004-08-24,18.77155945,51.3922275765,60.7319867317,0.0,46.1399461626
2004-08-25,0.0,79.9434651191,31.686253947,0.0,25.9537197165
2004-08-26,13.40825675,68.5229701021,50.1699020827,0.664529288013,40.3724528923
2004-08-27,8.04495404999,57.1024750851,66.0130290562,0.99679393202,23.0699730813
2004-08-28,21.4532108,102.784455153,52.8104232449,0.0,23.0699730813
2004-08-29,32.1798162,54.2473513308,50.1699020827,0.0,66.3261726087
2004-08-30,18.77155945,91.3639601361,60.7319867317,1.66132322003,31.7212129868
2004-08-31,18.77155945,65.6678463478,52.8104232449,0.664529288013,25.9537197165
2004-09-01,18.77155945,59.9575988393,47.5293809204,1.66132322003,72.093665879
2004-09-02,18.77155945,65.6678463478,84.4966771919,1.66132322003,25.9537197165
2004-09-03,8.04495404999,88.5088363818,60.7319867317,1.66132322003,37.4887062571
2004-09-04,21.4532108,139.901063958,52.8104232449,0.0,34.6049596219
2004-09-05,0.0,85.6537126276,21.124169298,0.0,11.5349865406
2004-09-06,26.8165135,79.9434651191,55.4509444072,0.0,89.39614569
2004-09-07,10.7266054,82.7985888733,39.6078174337,0.664529288013,51.9074394329
2004-09-08,10.7266054,42.8268563138,87.1371983541,0.0,51.9074394329
