date,destitute,extravagant,fire,gamble,hole
2004-05-11,0,0.0,62.9014769244,4.140625,13.3575192441
2004-05-12,0,0.0,62.9014769244,2.76041666667,11.1312660367
2004-05-13,0,0.0,65.3207644984,4.140625,15.5837724514
2004-05-14,0,0.0,64.1111207114,5.52083333333,11.1312660367
2004-05-15,0,0.0,76.2075585815,4.140625,14.4706458478
2004-05-16,0,0.0,71.3689834335,5.52083333333,17.8100256588
2004-05-17,0,0.0,74.9979147945,4.140625,14.4706458478
2004-05-18,0,0.0,54.4339704154,2.76041666667,14.4706458478
2004-05-19,0,0.0,62.9014769244,1.38020833333,13.3575192441
2004-05-20,0,0.0,67.7400520725,2.76041666667,12.2443926404
2004-05-21,0,0.0,64.1111207114,4.140625,14.4706458478
2004-05-22,0,0.0,59.2725455634,2.76041666667,13.3575192441
2004-05-23,0,0.0,77.4172023685,2.76041666667,22.2625320735
2004-05-24,0,0.0,67.7400520725,2.76041666667,10.0181394331
2004-05-25,0,0.0,76.2075585815,4.140625,11.1312660367
2004-05-26,0,0.0,60.4821893504,1.38020833333,11.1312660367
2004-05-27,0,0.0,70.1593396465,4.140625,13.3575192441
2004-05-28,0,0.0,70.1593396465,2.76041666667,10.0181394331
2004-05-29,0,0.0,73.7882710075,2.76041666667,14.4706458478
2004-05-30,0,0.0,67.7400520725,1.38020833333,18.9231522625
2004-05-31,0,0.0,78.6268461555,2.76041666667,15.5837724514
2004-06-01,0,0.0,68.9496958595,2.76041666667,11.1312660367
2004-06-02,0,0.0,66.5304082855,2.76041666667,11.1312660367
2004-06-03,0,0.0,66.5304082855,4.140625,12.2443926404
2004-06-04,0,0.0,72.5786272205,2.76041666667,11.1312660367
2004-06-05,0,0.0,68.9496958595,2.76041666667,10.0181394331
2004-06-06,0,0.0,85.8847088776,1.38020833333,15.5837724514
2004-06-07,0,0.0,65.3207644984,2.76041666667,14.4706458478
2004-06-08,0,0.0,60.4821893504,2.76041666667,14.4706458478
2004-06-09,0,0.0,74.9979147945,1.38020833333,12.2443926404
2004-06-10,0,0.0,71.3689834335,2.76041666667,12.2443926404
2004-06-11,0,0.0,62.9014769244,2.76041666667,11.1312660367
2004-06-12,0,0.0,65.3207644984,2.76041666667,14.4706458478
2004-06-13,0,0.0,72.5786272205,2.76041666667,11.1312660367
2004-06-14,0,0.0,70.1593396465,5.52083333333,16.6968990551
2004-06-15,0,0.0,62.9014769244,2.76041666667,12.2443926404
2004-06-16,0,0.0,60.4821893504,4.140625,11.1312660367
2004-06-17,0,0.0,67.7400520725,6.90104166667,14.4706458478
2004-06-18,0,0.0,64.1111207114,4.140625,13.3575192441
2004-06-19,0,0.0,72.5786272205,2.76041666667,14.4706458478
2004-06-20,0,0.0,64.1111207114,1.38020833333,15.5837724514
2004-06-21,0,0.0,64.1111207114,4.140625,10.0181394331
2004-06-22,0,0.0,61.6918331374,4.140625,12.2443926404
2004-06-23,0,0.0,66.5304082855,4.140625,10.0181394331
2004-06-24,0,0.0,66.5304082855,4.140625,12.2443926404
2004-06-25,0,0.0,67.7400520725,4.140625,11.1312660367
2004-06-26,0,0.0,74.9979147945,1.38020833333,15.5837724514
2004-06-27,0,0.0,62.9014769244,4.140625,13.3575192441
2004-06-28,0,0.0,71.3689834335,1.38020833333,14.4706458478
2004-06-29,0,0.0,73.7882710075,2.76041666667,13.3575192441
2004-06-30,0,0.0,68.9496958595,1.38020833333,12.2443926404
2004-07-01,0,0.0,81.0461337296,2.76041666667,16.6968990551
2004-07-02,0,0.0,95.5618591737,2.76041666667,15.5837724514
2004-07-03,0,0.0,95.5618591737,1.38020833333,13.3575192441
2004-07-04,0,0.0,120.964378701,1.38020833333,13.3575192441
2004-07-05,0,0.0,91.9329278126,2.76041666667,13.3575192441
2004-07-06,0,0.0,78.6268461555,2.76041666667,14.4706458478
2004-07-07,0,0.0,72.5786272205,2.76041666667,12.2443926404
2004-07-08,0,0.0,73.7882710075,2.76041666667,11.1312660367
2004-07-09,0,0.0,76.2075585815,5.52083333333,12.2443926404
2004-07-10,0,0.0,65.3207644984,2.76041666667,17.8100256588
2004-07-11,0,0.0,71.3689834335,1.38020833333,20.0362788661
2004-07-12,0,0.0,70.1593396465,4.140625,14.4706458478
2004-07-13,0,0.0,64.1111207114,4.140625,12.2443926404
2004-07-14,0,0.0,83.4654213036,1.38020833333,16.6968990551
2004-07-15,0,0.0,71.3689834335,5.52083333333,10.0181394331
2004-07-16,0,0.0,81.0461337296,2.76041666667,17.8100256588
2004-07-17,0,0.0,76.2075585815,2.76041666667,15.5837724514
2004-07-18,0,0.0,83.4654213036,4.140625,12.2443926404
2004-07-19,0,0.0,77.4172023685,4.140625,13.3575192441
2004-07-20,0,0.0,85.8847088776,4.140625,14.4706458478
2004-07-21,0,0.0,74.9979147945,2.76041666667,13.3575192441
2004-07-22,0,0.0,65.3207644984,2.76041666667,15.5837724514
2004-07-23,0,0.0,64.1111207114,1.38020833333,13.3575192441
2004-07-24,0,0.0,67.7400520725,2.76041666667,13.3575192441
2004-07-25,0,0.0,65.3207644984,1.38020833333,13.3575192441
2004-07-26,0,0.0,68.9496958595,2.76041666667,14.4706458478
2004-07-27,0,0.0,70.1593396465,4.140625,14.4706458478
2004-07-28,0,0.0,68.9496958595,2.76041666667,13.3575192441
2004-07-29,0,0.0,64.1111207114,2.76041666667,13.3575192441
2004-07-30,0,0.0,64.1111207114,1.38020833333,10.0181394331
2004-07-31,0,0.0,71.3689834335,1.38020833333,14.4706458478
2004-08-01,0,0.0,67.7400520725,2.76041666667,17.8100256588
2004-08-02,0,0.0,67.7400520725,4.140625,11.1312660367
2004-08-03,0,0.0,66.5304082855,4.140625,13.3575192441
2004-08-04,0,0.0,60.4821893504,2.76041666667,10.0181394331
2004-08-05,0,0.0,60.4821893504,2.76041666667,12.2443926404
2004-08-06,0,0.0,61.6918331374,2.76041666667,8.9050128294
2004-08-07,0,0.0,73.7882710075,4.140625,11.1312660367
2004-08-08,0,0.0,72.5786272205,2.76041666667,16.6968990551
2004-08-09,0,0.0,70.1593396465,2.76041666667,12.2443926404
2004-08-10,0,0.0,62.9014769244,5.52083333333,11.1312660367
2004-08-11,0,0.0,65.3207644984,2.76041666667,12.2443926404
2004-08-12,0,0.0,67.7400520725,2.76041666667,11.1312660367
2004-08-13,0,0.0,70.1593396465,4.140625,11.1312660367
2004-08-14,0,0.0,73.7882710075,1.38020833333,11.1312660367
2004-08-15,0,0.0,60.4821893504,1.38020833333,11.1312660367
2004-08-16,0,0.0,70.1593396465,2.76041666667,14.4706458478
2004-08-17,0,0.0,67.7400520725,4.140625,11.1312660367
2004-08-18,0,0.0,64.1111207114,4.140625,12.2443926404
2004-08-19,0,0.0,65.3207644984,1.38020833333,10.0181394331
2004-08-20,0,0.0,70.1593396465,2.76041666667,13.3575192441
2004-08-21,0,0.0,73.7882710075,2.76041666667,12.2443926404
2004-08-22,0,0.0,70.1593396465,2.76041666667,13.3575192441
2004-08-23,0,0.0,71.3689834335,2.76041666667,10.0181394331
2004-08-24,0,0.0,61.6918331374,1.38020833333,12.2443926404
2004-08-25,0,0.0,70.1593396465,5.52083333333,11.1312660367
2004-08-26,0,0.0,66.5304082855,2.76041666667,7.79188622572
2004-08-27,0,0.0,73.7882710075,2.76041666667,10.0181394331
2004-08-28,0,0.0,72.5786272205,2.76041666667,12.2443926404
2004-08-29,0,0.0,70.1593396465,1.38020833333,11.1312660367
2004-08-30,0,0.0,60.4821893504,2.76041666667,12.2443926404
2004-08-31,0,0.0,60.4821893504,4.140625,12.2443926404
2004-09-01,0,0.0,61.6918331374,1.38020833333,10.0181394331
2004-09-02,0,0.0,62.9014769244,2.76041666667,11.1312660367
2004-09-03,0,0.0,65.3207644984,2.76041666667,12.2443926404
2004-09-04,0,0.0,66.5304082855,1.38020833333,12.2443926404
2004-09-05,0,0.0,82.2557775166,1.38020833333,15.5837724514
2004-09-06,0,0.0,81.0461337296,2.76041666667,11.1312660367
2004-09-07,0,0.0,65.3207644984,2.76041666667,12.2443926404
2004-09-08,0,0.0,61.6918331374,2.76041666667,11.1312660367
2004-09-09,0,0.0,59.2725455634,4.140625,10.0181394331
2004-09-10,0,0.0,62.9014769244,1.38020833333,11.1312660367
2004-09-11,0,0.0,68.0,2.0,10.8770335629
2004-09-12,0,0.0,66.0,2.0,16.3155503444
2004-09-13,0,0.0,66.0,3.0,10.8770335629
2004-09-14,0,0.0,70.0,2.0,9.97061409937
2004-09-15,0,0.0,80.0,5.0,9.97061409937
2004-09-16,0,0.0,78.0,5.0,14.5027114173
2004-09-17,0,0.0,68.0,7.0,12.6898724901
2004-09-18,0,0.0,75.0,4.0,12.6898724901
2004-09-19,0,0.0,71.0,2.0,14.5027114173
2004-09-20,0,0.0,75.0,4.0,10.8770335629
2004-09-21,0,0.0,77.0,3.0,14.5027114173
2004-09-22,0,0.0,68.0,5.0,9.06419463579
2004-09-23,0,0.0,67.0,2.0,10.8770335629
2004-09-24,0,0.0,70.0,5.0,11.7834530265
2004-09-25,0,0.0,69.0,3.0,13.5962919537
2004-09-26,0,0.0,81.0,3.0,9.97061409937
2004-09-27,0,0.0,70.0,3.0,11.7834530265
2004-09-28,0,0.0,78.0,4.0,10.8770335629
2004-09-29,0,0.0,73.0,6.0,9.06419463579
2004-09-30,0,0.0,68.0,5.0,9.06419463579
2004-10-01,0,0.0,73.0,3.0,13.5962919537
2004-10-02,0,0.0,67.0,3.0,13.5962919537
2004-10-03,0,0.0,84.0,2.0,9.97061409937
2004-10-04,0,0.0,73.0,2.0,9.97061409937
2004-10-05,0,0.0,71.0,4.0,8.15777517221
2004-10-06,0,0.0,70.0,3.0,9.97061409937
2004-10-07,0,0.0,73.0,3.0,10.8770335629
2004-10-08,0,0.0,68.0,5.0,11.7834530265
2004-10-09,0,0.0,70.0,1.0,10.8770335629
2004-10-10,0,0.0,89.0,2.0,11.7834530265
2004-10-11,0,0.0,83.0,2.0,9.06419463579
2004-10-12,0,0.0,73.0,0.0,9.06419463579
2004-10-13,0,0.0,73.0,3.0,13.5962919537
2004-10-14,0,0.0,79.0,2.0,10.8770335629
2004-10-15,0,0.0,69.0,2.0,10.8770335629
2004-10-16,0,0.0,78.0,2.0,16.3155503444
2004-10-17,0,0.0,76.0,2.0,9.06419463579
2004-10-18,0,0.0,73.0,3.0,12.6898724901
2004-10-19,0,0.0,70.0,4.0,11.7834530265
2004-10-20,0,0.0,73.0,6.0,9.06419463579
2004-10-21,0,0.0,70.0,4.0,11.7834530265
2004-10-22,0,0.0,68.0,2.0,10.8770335629
2004-10-23,0,0.0,67.0,4.0,13.5962919537
2004-10-24,0,0.0,76.0,5.0,12.6898724901
2004-10-25,0,0.0,79.0,3.0,10.8770335629
2004-10-26,0,0.0,68.0,3.0,11.7834530265
2004-10-27,0,0.0,76.0,3.0,9.06419463579
2004-10-28,0,0.0,68.0,3.0,9.97061409937
2004-10-29,0,0.0,68.0,4.0,10.8770335629
2004-10-30,0,0.0,74.0,2.0,10.8770335629
2004-10-31,0,0.0,66.0,1.0,15.4091308808
2004-11-01,0,0.0,64.0,2.0,14.5027114173
2004-11-02,0,0.0,75.0,3.0,9.06419463579
2004-11-03,0,0.0,59.0,2.0,9.97061409937
2004-11-04,0,0.0,72.0,2.0,9.97061409937
2004-11-05,0,0.0,62.0,2.0,9.97061409937
2004-11-06,0,0.0,68.0,2.0,12.6898724901
2004-11-07,0,0.0,71.0,4.0,11.7834530265
2004-11-08,0,0.0,78.0,3.0,15.4091308808
2004-11-09,0,0.0,0.0,0.0,0.0
2004-11-10,0,0.0,66.0,4.0,9.97061409937
2004-11-11,0,0.0,65.0,3.0,9.06419463579
2004-11-12,0,0.0,66.0,3.0,10.8770335629
2004-11-13,0,0.0,73.0,3.0,12.6898724901
2004-11-14,0,0.0,75.0,1.0,12.6898724901
2004-11-15,0,0.0,69.0,3.0,7.25135570863
2004-11-16,0,0.0,69.0,3.0,9.06419463579
2004-11-17,0,0.0,68.0,4.0,9.97061409937
2004-11-18,0,0.0,70.0,2.0,12.6898724901
2004-11-19,0,0.0,70.0,2.0,9.06419463579
2004-11-20,0,0.0,67.0,2.0,11.7834530265
2004-11-21,0,0.0,71.0,4.0,14.5027114173
2004-11-22,0,0.0,69.0,3.0,8.15777517221
2004-11-23,0,0.0,65.0,2.0,13.5962919537
2004-11-24,0,0.0,67.0,1.0,9.06419463579
2004-11-25,0,0.0,66.0,3.0,10.8770335629
2004-11-26,0,0.0,68.0,4.0,12.6898724901
2004-11-27,0,0.0,79.0,3.0,13.5962919537
2004-11-28,0,0.0,70.0,0.0,12.6898724901
2004-11-29,0,0.0,71.0,2.0,10.8770335629
2004-11-30,0,0.0,73.0,2.0,9.06419463579
2004-12-01,0,0.0,65.0,4.0,11.7834530265
2004-12-02,0,0.0,72.0,5.0,9.97061409937
2004-12-03,0,0.0,70.0,2.0,11.7834530265
2004-12-04,0,0.0,71.0,3.0,15.4091308808
2004-12-05,0,0.0,72.0,2.0,11.7834530265
2004-12-06,0,0.0,71.0,3.0,9.97061409937
2004-12-07,0,0.0,90.0,3.0,14.5027114173
2004-12-08,0,0.0,71.0,2.0,10.8770335629
2004-12-09,0,0.0,68.0,1.0,12.6898724901
2004-12-10,0,0.0,69.0,2.0,9.06419463579
2004-12-11,0,0.0,64.0,3.0,9.06419463579
2004-12-12,0,0.0,69.0,3.0,15.4091308808
2004-12-13,0,0.0,68.0,3.0,9.97061409937
2004-12-14,0,0.0,71.0,3.0,12.6898724901
2004-12-15,0,0.0,63.0,2.0,12.6898724901
2004-12-16,0,0.0,74.0,2.0,10.8770335629
2004-12-17,0,0.0,69.0,2.0,9.06419463579
2004-12-18,0,0.0,72.0,2.0,8.15777517221
2004-12-19,0,0.0,75.0,2.0,10.8770335629
2004-12-20,0,0.0,71.0,3.0,13.5962919537
2004-12-21,0,0.0,70.0,3.0,11.7834530265
2004-12-22,0,0.0,69.0,1.0,11.7834530265
2004-12-23,0,0.0,74.0,4.0,9.97061409937
2004-12-24,0,0.0,73.0,1.0,11.7834530265
2004-12-25,0,0.0,72.0,1.0,10.8770335629
2004-12-26,0,0.0,68.0,1.0,13.5962919537
2004-12-27,0,0.0,61.0,3.0,11.7834530265
2004-12-28,0,0.0,71.0,1.0,11.7834530265
2004-12-29,0,0.0,74.0,3.0,11.7834530265
2004-12-30,0,0.0,66.0,2.0,14.5027114173
2004-12-31,0,0.0,69.0,1.0,10.8770335629
2005-01-01,0,0.0,76.0,3.0,14.5027114173
2005-01-02,0,0.0,64.0,1.0,10.8770335629
2005-01-03,0,0.0,74.0,3.0,19.0348087352
2005-01-04,0,0.0,70.0,2.0,15.4091308808
2005-01-05,0,0.0,70.0,2.0,14.5027114173
2005-01-06,0,0.0,69.0,3.0,10.8770335629
2005-01-07,0,0.0,65.0,2.0,11.7834530265
2005-01-08,0,0.0,72.0,2.0,9.97061409937
2005-01-09,0,0.0,89.0,2.0,13.5962919537
2005-01-10,0,0.0,69.0,3.0,13.5962919537
2005-01-11,0,0.0,67.0,2.0,12.6898724901
2005-01-12,0,0.0,71.0,3.0,11.7834530265
2005-01-13,0,0.0,68.0,3.0,12.6898724901
2005-01-14,0,0.0,69.0,1.0,10.8770335629
2005-01-15,0,0.0,76.0,3.0,11.7834530265
2005-01-16,0,0.0,70.0,1.0,13.5962919537
2005-01-17,0,0.0,70.0,2.0,12.6898724901
2005-01-18,0,0.0,63.0,2.0,14.5027114173
2005-01-19,0,0.0,66.0,2.0,10.8770335629
2005-01-20,0,0.0,76.0,2.0,9.97061409937
2005-01-21,0,0.0,70.0,3.0,10.8770335629
2005-01-22,0,0.0,69.0,3.0,10.8770335629
2005-01-23,0,0.0,69.0,4.0,9.97061409937
2005-01-24,0,0.0,69.0,2.0,13.5962919537
2005-01-25,0,0.0,68.0,3.0,12.6898724901
2005-01-26,0,0.0,70.0,4.0,12.6898724901
2005-01-27,0,0.0,71.0,2.0,13.5962919537
2005-01-28,0,0.0,65.0,13.0,12.6898724901
