date,unprofitable,vagabond,vagrant,abundance,accrue
2011-05-06,5.39201725998,138.384889913,6.27454920308,52.3594389794,8.77662819095
2011-05-07,0.0,99.7658508672,24.0524386118,20.7632258022,2.92554273032
2011-05-08,0.0,151.257902928,16.7321312082,35.2072089689,2.92554273032
2011-05-09,0.0,128.730130151,30.3269878149,30.6934642293,12.4335566038
2011-05-10,0.0,144.82139642,23.0066804113,42.4292005523,5.85108546063
2011-05-11,0.0,148.039649674,14.6406148072,36.1099579168,4.38831409547
2011-05-12,0.0,167.349169197,9.41182380463,38.8182047606,8.77662819095
2011-05-13,0.0,154.476156182,12.5490984062,43.3319495002,8.77662819095
2011-05-14,0.0,241.368994034,15.6863730077,27.0824684376,0.0
2011-05-15,0.0,193.095195227,19.8694058098,13.5412342188,5.11969977805
2011-05-16,0.0,199.531701734,35.5557788175,20.7632258022,5.85108546063
2011-05-17,0.0,189.876941973,26.1439550128,42.4292005523,8.04524250837
2011-05-18,0.0,90.1110911059,29.2812296144,22.568723698,5.85108546063
2011-05-19,2.69600862999,141.603143166,30.3269878149,26.1797194897,6.58247114321
2011-05-20,0.0,154.476156182,12.5490984062,24.3742215939,2.19415704774
2011-05-21,0.0,183.440435466,31.3727460154,34.304460021,5.85108546063
2011-05-22,3.59467817332,222.059474511,15.6863730077,47.8456942398,2.92554273032
2011-05-23,2.69600862999,119.07537039,32.4185042159,33.4017110731,5.85108546063
2011-05-24,0.0,154.476156182,26.1439550128,30.6934642293,12.4335566038
2011-05-25,0.0,151.257902928,23.0066804113,29.7907152814,13.896327969
2011-05-26,2.69600862999,196.313448481,17.7778894087,41.5264516043,8.77662819095
2011-05-27,0.0,151.257902928,26.1439550128,47.8456942398,8.77662819095
2011-05-28,0.0,164.130915943,53.3336682262,28.8879663335,2.92554273032
2011-05-29,0.0,173.785675704,39.7388116195,22.568723698,0.0
2011-05-30,0.0,183.440435466,24.0524386118,17.1522300105,16.8218706993
2011-05-31,0.0,102.984104121,24.0524386118,28.8879663335,6.58247114321
2011-06-01,0.0,93.3293443597,14.6406148072,36.1099579168,8.04524250837
2011-06-02,2.69600862999,131.948383405,20.9151640103,42.4292005523,14.6277136516
2011-06-03,0.0,96.5475976135,43.9218444216,24.3742215939,4.38831409547
2011-06-04,0.0,260.678513556,32.4185042159,27.9852173855,0.0
2011-06-05,0.0,189.876941973,40.78456982,14.4439831667,2.92554273032
2011-06-06,0.0,131.948383405,14.6406148072,20.7632258022,16.8218706993
2011-06-07,0.0,119.07537039,24.0524386118,37.9154558127,16.8218706993
2011-06-08,0.0,205.968208242,33.4642624164,23.4714726459,8.77662819095
2011-06-09,0.0,141.603143166,24.0524386118,20.7632258022,4.38831409547
2011-06-10,0.0,205.968208242,21.9609222108,24.3742215939,2.19415704774
2011-06-11,3.59467817332,196.313448481,28.2354714139,20.7632258022,8.04524250837
2011-06-12,0.0,199.531701734,28.2354714139,38.8182047606,5.85108546063
2011-06-13,0.0,131.948383405,24.0524386118,23.4714726459,8.77662819095
2011-06-14,0.0,109.420610629,35.5557788175,36.1099579168,10.2393995561
2011-06-15,0.0,102.984104121,39.7388116195,23.4714726459,10.2393995561
2011-06-16,0.0,180.222182212,36.601537018,31.5962131772,6.58247114321
2011-06-17,0.0,157.694409435,28.2354714139,29.7907152814,17.5532563819
2011-06-18,3.59467817332,138.384889913,20.9151640103,20.7632258022,2.92554273032
2011-06-19,0.0,141.603143166,20.9151640103,25.2769705418,5.85108546063
2011-06-20,0.0,180.222182212,20.9151640103,15.3467321147,0.0
2011-06-21,0.0,160.912662689,23.0066804113,18.0549789584,8.04524250837
2011-06-22,2.69600862999,212.40471475,30.3269878149,27.9852173855,6.58247114321
2011-06-23,0.0,205.968208242,27.1897132134,18.0549789584,10.2393995561
2011-06-24,2.69600862999,234.932487526,28.2354714139,21.6659747501,8.77662819095
2011-06-25,0.0,247.805500541,32.4185042159,48.7484431877,0.0
2011-06-26,0.0,167.349169197,12.5490984062,43.3319495002,2.92554273032
2011-06-27,0.0,128.730130151,14.6406148072,28.8879663335,6.58247114321
2011-06-28,0.0,154.476156182,38.693053419,15.3467321147,10.2393995561
2011-06-29,5.39201725998,99.7658508672,27.1897132134,20.7632258022,8.04524250837
2011-06-30,0.0,115.857117136,31.3727460154,37.9154558127,6.58247114321
2011-07-01,0.0,193.095195227,9.41182380463,37.0127068647,6.58247114321
2011-07-02,0.0,205.968208242,25.0981968123,39.7209537085,5.85108546063
2011-07-03,0.0,225.277727765,38.693053419,18.9577279063,0.0
2011-07-04,0.0,312.170565617,40.78456982,31.5962131772,2.92554273032
2011-07-05,0.0,119.07537039,18.8236476093,30.6934642293,8.77662819095
2011-07-06,5.39201725998,138.384889913,32.4185042159,33.4017110731,8.04524250837
2011-07-07,2.69600862999,263.89676681,27.1897132134,10.832987375,21.2101847948
2011-07-08,0.0,247.805500541,31.3727460154,27.0824684376,8.77662819095
2011-07-09,0.0,144.82139642,31.3727460154,33.4017110731,8.04524250837
2011-07-10,0.0,247.805500541,19.8694058098,31.5962131772,5.85108546063
2011-07-11,2.69600862999,157.694409435,30.3269878149,30.6934642293,4.38831409547
2011-07-12,2.69600862999,180.222182212,14.6406148072,25.2769705418,12.4335566038
