date,legal,lucrative,luxury,meritorious,nobility
2011-06-12,66.7926847668,0.0,26.6689403128,0.0,0.0
2011-06-13,87.6653987564,0.0,23.5917548921,0.0,0.0
2011-06-14,87.6653987564,0.0,25.6432118392,0.0,0.0
2011-06-15,82.447220259,0.0,27.6946687863,0.0,0.0
2011-06-16,80.3599488601,0.0,25.6432118392,0.0,0.0
2011-06-17,84.534491658,0.0,21.5402979449,0.0,0.0
2011-06-18,70.9672275647,0.0,27.6946687863,0.0,0.0
2011-06-19,67.8363204663,0.0,25.6432118392,0.0,0.0
2011-06-20,84.534491658,0.0,23.5917548921,0.0,0.0
2011-06-21,87.6653987564,0.0,23.5917548921,0.0,0.0
2011-06-22,85.5781273575,0.0,24.6174833656,0.0,0.0
2011-06-23,86.621763057,0.0,24.6174833656,0.0,0.0
2011-06-24,80.3599488601,0.0,22.5660264185,0.0,0.0
2011-06-25,87.6653987564,0.0,26.6689403128,0.0,0.0
2011-06-26,76.1854060621,0.0,31.7975826806,0.0,0.0
2011-06-27,93.9272129533,0.0,26.6689403128,0.0,0.0
2011-06-28,93.9272129533,0.0,24.6174833656,0.0,0.0
2011-06-29,85.5781273575,0.0,25.6432118392,0.0,0.0
2011-06-30,91.8399415544,0.0,26.6689403128,0.0,0.0
2011-07-01,84.534491658,0.0,25.6432118392,0.0,0.0
2011-07-02,74.0981346632,0.0,25.6432118392,0.0,0.0
2011-07-03,81.4035845595,0.0,24.6174833656,0.0,0.0
2011-07-04,78.2726774611,0.0,28.7203972599,0.0,0.0
2011-07-05,98.1017557512,0.0,24.6174833656,0.0,0.0
2011-07-06,91.8399415544,0.0,25.6432118392,0.0,0.0
2011-07-07,89.7526701554,0.0,23.5917548921,0.0,0.0
2011-07-08,85.5781273575,0.0,23.5917548921,0.0,0.0
2011-07-09,65.7490490673,0.0,27.6946687863,0.0,0.0
2011-07-10,67.8363204663,0.0,29.7461257335,0.0,0.0
2011-07-11,91.8399415544,0.0,25.6432118392,0.0,0.0
2011-07-12,92.8835772538,0.0,28.7203972599,0.0,0.0
2011-07-13,88.7090344559,0.0,23.5917548921,0.0,0.0
2011-07-14,90.7963058549,0.0,23.5917548921,0.0,0.0
2011-07-15,83.4908559585,0.0,24.6174833656,0.0,0.0
2011-07-16,70.9672275647,0.0,26.6689403128,0.0,0.0
2011-07-17,69.9235918653,0.0,25.6432118392,0.0,0.0
2011-07-18,91.8399415544,0.0,25.6432118392,0.0,0.0
2011-07-19,90.7963058549,0.0,25.6432118392,0.0,0.0
2011-07-20,89.7526701554,0.0,27.6946687863,0.0,0.0
2011-07-21,85.5781273575,0.0,25.6432118392,0.0,0.0
2011-07-22,82.447220259,0.0,23.5917548921,0.0,0.0
2011-07-23,68.8799561658,0.0,29.7461257335,0.0,0.0
2011-07-24,72.0108632642,0.0,30.771854207,0.0,0.0
2011-07-25,84.534491658,0.0,21.5402979449,0.0,0.0
2011-07-26,87.6653987564,0.0,27.6946687863,0.0,0.0
2011-07-27,85.5781273575,0.0,26.6689403128,0.0,0.0
2011-07-28,83.4908559585,0.0,24.6174833656,0.0,0.0
2011-07-29,80.3599488601,0.0,22.5660264185,0.0,0.0
2011-07-30,65.7490490673,0.0,27.6946687863,0.0,0.0
2011-07-31,63.6617776684,0.0,25.6432118392,0.0,0.0
2011-08-01,84.534491658,0.0,24.6174833656,0.0,0.0
