date,aristocracy,aristocrat,aristocratic,associate,backer,isPartial
2006-09-19,0,8,0,71,15,False
2006-09-20,6,2,2,54,12,False
2006-09-21,6,2,2,48,10,False
2006-09-22,2,8,0,68,11,False
2006-09-23,0,0,3,37,9,False
2006-09-24,9,3,0,48,12,False
2006-09-25,4,6,0,62,0,False
2006-09-26,0,0,0,56,17,False
2006-09-27,0,2,0,59,4,False
2006-09-28,8,8,0,57,10,False
2006-09-29,0,0,0,44,8,False
2006-09-30,0,3,3,53,16,False
2006-10-01,3,3,3,52,12,False
2006-10-02,0,6,0,55,6,False
2006-10-03,0,8,0,50,13,False
2006-10-04,2,11,0,40,6,False
2006-10-05,4,4,2,79,10,False
2006-10-06,4,4,2,89,6,False
2006-10-07,0,10,0,41,13,False
2006-10-08,3,6,3,57,3,False
2006-10-09,2,8,2,65,8,False
2006-10-10,2,9,0,65,2,False
2006-10-11,2,2,4,80,4,False
2006-10-12,0,8,0,46,2,False
2006-10-13,2,4,0,82,6,False
2006-10-14,3,6,3,34,9,False
2006-10-15,0,0,0,45,6,False
2006-10-16,6,2,0,38,6,False
2006-10-17,9,7,0,74,2,False
2006-10-18,8,6,0,85,4,False
2006-10-19,2,4,2,74,8,False
2006-10-20,0,2,0,62,4,False
2006-10-21,0,3,0,46,9,False
2006-10-22,0,9,0,83,3,False
2006-10-23,0,2,0,79,6,False
2006-10-24,0,2,0,61,15,False
2006-10-25,2,8,2,100,6,False
2006-10-26,2,8,0,73,2,False
2006-10-27,2,4,0,57,10,False
2006-10-28,0,3,0,50,3,False
