date,partnership,patron,patronage,precious,priceless
2011-03-17,78.1610508558,84.2243027925,5.29418816404,64.8832769721,6.162238797
2011-03-18,81.9737850439,56.149535195,2.64709408202,54.0693974767,3.0811193985
2011-03-19,53.3782786332,56.149535195,2.64709408202,48.6624577291,4.62167909775
2011-03-20,66.7228482915,58.0211863682,5.29418816404,59.4763372244,1.54055969925
2011-03-21,91.5056205141,46.7912793292,5.29418816404,55.871710726,6.162238797
2011-03-22,104.850190172,48.6629305023,5.29418816404,68.4879034705,3.0811193985
2011-03-23,89.59925342,37.4330234633,5.29418816404,59.4763372244,6.162238797
2011-03-24,83.8801521379,46.7912793292,5.29418816404,61.2786504736,4.62167909775
2011-03-25,87.692886326,56.149535195,2.64709408202,57.6740239752,4.62167909775
2011-03-26,57.1910128213,54.2778840218,2.64709408202,66.6855902213,4.62167909775
2011-03-27,45.752810257,54.2778840218,5.29418816404,59.4763372244,7.70279849625
2011-03-28,114.382025643,37.4330234633,5.29418816404,57.6740239752,6.162238797
2011-03-29,101.037455984,41.1763258097,5.29418816404,63.0809637229,7.70279849625
2011-03-30,93.4119876081,58.0211863682,2.64709408202,55.871710726,3.0811193985
2011-03-31,93.4119876081,46.7912793292,2.64709408202,59.4763372244,3.0811193985
2011-04-01,89.59925342,54.2778840218,2.64709408202,55.871710726,6.162238797
2011-04-02,72.4419495736,56.149535195,0.0,70.2902167198,3.0811193985
2011-04-03,66.7228482915,65.5077910608,5.29418816404,59.4763372244,9.2433581955
2011-04-04,108.66292436,50.5345816755,2.64709408202,63.0809637229,4.62167909775
2011-04-05,95.3183547022,41.1763258097,5.29418816404,57.6740239752,4.62167909775
2011-04-06,112.475658549,54.2778840218,2.64709408202,64.8832769721,6.162238797
2011-04-07,104.850190172,50.5345816755,2.64709408202,63.0809637229,7.70279849625
2011-04-08,85.7865192319,46.7912793292,7.94128224605,59.4763372244,9.2433581955
2011-04-09,53.3782786332,44.919628156,5.29418816404,70.2902167198,6.162238797
2011-04-10,64.8164811975,69.2510934072,5.29418816404,61.2786504736,7.70279849625
2011-04-11,95.3183547022,41.1763258097,5.29418816404,52.2670842275,6.162238797
2011-04-12,101.037455984,43.0479769828,5.29418816404,54.0693974767,10.7839178947
2011-04-13,112.475658549,41.1763258097,2.64709408202,54.0693974767,6.162238797
2011-04-14,93.4119876081,50.5345816755,2.64709408202,70.2902167198,6.162238797
2011-04-15,89.59925342,56.149535195,5.29418816404,66.6855902213,9.2433581955
2011-04-16,68.6292153856,54.2778840218,2.64709408202,63.0809637229,7.70279849625
2011-04-17,78.1610508558,39.3046746365,2.64709408202,68.4879034705,6.162238797
2011-04-18,102.943823078,41.1763258097,5.29418816404,68.4879034705,9.2433581955
2011-04-19,93.4119876081,39.3046746365,2.64709408202,57.6740239752,6.162238797
2011-04-20,97.2247217962,44.919628156,5.29418816404,72.092529969,3.0811193985
2011-04-21,91.5056205141,44.919628156,5.29418816404,61.2786504736,3.0811193985
2011-04-22,70.5355824796,37.4330234633,2.64709408202,57.6740239752,4.62167909775
2011-04-23,45.752810257,44.919628156,0.0,72.092529969,7.70279849625
2011-04-24,57.1910128213,50.5345816755,2.64709408202,75.6971564674,3.0811193985
2011-04-25,101.037455984,35.5613722902,5.29418816404,52.2670842275,3.0811193985
2011-04-26,87.692886326,39.3046746365,2.64709408202,68.4879034705,7.70279849625
2011-04-27,85.7865192319,46.7912793292,5.29418816404,64.8832769721,10.7839178947
2011-04-28,80.0674179498,48.6629305023,2.64709408202,70.2902167198,4.62167909775
2011-04-29,78.1610508558,41.1763258097,2.64709408202,48.6624577291,4.62167909775
2011-04-30,47.6591773511,46.7912793292,2.64709408202,66.6855902213,3.0811193985
2011-05-01,55.2846457272,54.2778840218,0.0,63.0809637229,4.62167909775
2011-05-02,101.037455984,41.1763258097,5.29418816404,68.4879034705,6.162238797
2011-05-03,93.4119876081,41.1763258097,2.64709408202,180.231324922,4.62167909775
2011-05-04,101.037455984,50.5345816755,2.64709408202,84.7087227136,7.70279849625
2011-05-05,91.5056205141,82.3526516193,5.29418816404,66.6855902213,6.162238797
2011-05-06,78.1610508558,63.6361398877,2.64709408202,73.8948432182,4.62167909775
2011-05-07,41.9400760689,48.6629305023,2.64709408202,54.0693974767,4.62167909775
2011-05-08,51.4719115392,43.0479769828,0.0,73.8948432182,4.62167909775
2011-05-09,97.2247217962,50.5345816755,5.29418816404,50.4647709783,6.162238797
2011-05-10,93.4119876081,44.919628156,2.64709408202,57.6740239752,7.70279849625
2011-05-11,87.692886326,43.0479769828,7.94128224605,55.871710726,7.70279849625
2011-05-12,74.3483166677,39.3046746365,7.94128224605,57.6740239752,4.62167909775
2011-05-13,83.8801521379,50.5345816755,2.64709408202,52.2670842275,4.62167909775
2011-05-14,43.846443163,63.6361398877,0.0,45.0578312306,6.162238797
2011-05-15,47.6591773511,52.4062328487,2.64709408202,61.2786504736,7.70279849625
2011-05-16,80.0674179498,50.5345816755,2.64709408202,46.8601444798,7.70279849625
2011-05-17,91.5056205141,52.4062328487,2.64709408202,59.4763372244,4.62167909775
2011-05-18,97.2247217962,44.919628156,2.64709408202,45.0578312306,7.70279849625
2011-05-19,78.1610508558,50.5345816755,2.64709408202,59.4763372244,6.162238797
2011-05-20,81.9737850439,50.5345816755,2.64709408202,50.4647709783,3.0811193985
2011-05-21,41.9400760689,48.6629305023,5.29418816404,55.871710726,3.0811193985
2011-05-22,28.5955064106,56.149535195,2.64709408202,57.6740239752,3.0811193985
2011-05-23,85.7865192319,44.919628156,5.29418816404,59.4763372244,4.62167909775
2011-05-24,76.2546837617,43.0479769828,7.94128224605,70.2902167198,6.162238797
2011-05-25,76.2546837617,44.919628156,2.64709408202,54.0693974767,4.62167909775
2011-05-26,81.9737850439,41.1763258097,5.29418816404,41.4532047322,3.0811193985
2011-05-27,70.5355824796,52.4062328487,0.0,55.871710726,3.0811193985
2011-05-28,45.752810257,50.5345816755,2.64709408202,45.0578312306,3.0811193985
2011-05-29,43.846443163,63.6361398877,0.0,63.0809637229,4.62167909775
