date,expense,expensive,fine,ghetto,intervention
2007-12-08,11.6537603177,35.3880456149,140.065091048,31.4511318358,27.7463651715
2007-12-09,7.28360019855,35.3880456149,137.206619802,37.1695194423,26.2860301625
2007-12-10,17.4806404765,39.8115513168,117.197321081,31.4511318358,27.7463651715
2007-12-11,20.3940805559,36.8625475155,117.197321081,25.7327442293,35.0480402167
2007-12-12,11.6537603177,33.9135437143,130.060441687,34.310325639,23.3653601445
2007-12-13,13.1104803574,29.4900380124,122.914263572,32.8807287374,23.3653601445
2007-12-14,16.0239204368,30.9645399131,117.197321081,35.7399225407,17.5240201083
2007-12-15,13.1104803574,30.9645399131,121.48502795,42.8879070488,17.5240201083
2007-12-16,7.28360019855,33.9135437143,132.918912933,40.0287132456,14.6033500903
2007-12-17,20.3940805559,36.8625475155,114.338849835,28.5919380325,27.7463651715
2007-12-18,13.1104803574,29.4900380124,112.909614212,37.1695194423,27.7463651715
2007-12-19,14.5672003971,30.9645399131,98.6172579826,28.5919380325,18.9843551174
2007-12-20,13.1104803574,33.9135437143,122.914263572,30.0215349342,17.5240201083
2007-12-21,10.197040278,32.4390418137,108.621907343,34.310325639,16.0636850993
2007-12-22,7.28360019855,33.9135437143,118.626556704,30.0215349342,10.2223450632
2007-12-23,4.37016011913,26.5410342112,128.631206064,41.4583101472,11.6826800722
2007-12-24,10.197040278,36.8625475155,111.480378589,40.0287132456,10.2223450632
2007-12-25,4.37016011913,29.4900380124,105.763436097,38.5991163439,8.76201005417
2007-12-26,10.197040278,28.0155361118,115.768085458,25.7327442293,10.2223450632
2007-12-27,11.6537603177,36.8625475155,128.631206064,28.5919380325,13.1430150813
2007-12-28,7.28360019855,30.9645399131,140.065091048,34.310325639,13.1430150813
2007-12-29,8.74032023826,36.8625475155,125.772734818,34.310325639,16.0636850993
2007-12-30,5.82688015884,30.9645399131,118.626556704,34.310325639,11.6826800722
2007-12-31,10.197040278,25.0665323106,128.631206064,34.310325639,17.5240201083
2008-01-01,4.37016011913,41.2860532174,105.763436097,30.0215349342,23.3653601445
2008-01-02,13.1104803574,29.4900380124,118.626556704,34.310325639,23.3653601445
2008-01-03,16.0239204368,33.9135437143,117.197321081,30.0215349342,21.9050251354
2008-01-04,18.9373605162,32.4390418137,107.19267172,21.4439535244,20.4446901264
2008-01-05,11.6537603177,30.9645399131,128.631206064,38.5991163439,21.9050251354
2008-01-06,10.197040278,36.8625475155,112.909614212,32.8807287374,10.2223450632
2008-01-07,18.9373605162,39.8115513168,118.626556704,25.7327442293,23.3653601445
2008-01-08,14.5672003971,36.8625475155,125.772734818,22.873550426,42.3497152618
2008-01-09,20.3940805559,30.9645399131,111.480378589,27.1623411309,21.9050251354
2008-01-10,10.197040278,32.4390418137,121.48502795,35.7399225407,24.8256951535
2008-01-11,16.0239204368,28.0155361118,110.051142966,24.3031473277,17.5240201083
2008-01-12,14.5672003971,36.8625475155,124.343499195,37.1695194423,13.1430150813
2008-01-13,14.5672003971,32.4390418137,130.060441687,27.1623411309,21.9050251354
2008-01-14,16.0239204368,30.9645399131,114.338849835,30.0215349342,18.9843551174
2008-01-15,18.9373605162,32.4390418137,107.19267172,32.8807287374,37.9687102347
2008-01-16,13.1104803574,29.4900380124,104.334200474,28.5919380325,24.8256951535
2008-01-17,16.0239204368,28.0155361118,115.768085458,30.0215349342,24.8256951535
2008-01-18,16.0239204368,33.9135437143,90.041844245,25.7327442293,23.3653601445
2008-01-19,13.1104803574,28.0155361118,134.348148556,37.1695194423,16.0636850993
2008-01-20,4.37016011913,45.7095589193,125.772734818,31.4511318358,21.9050251354
2008-01-21,17.4806404765,29.4900380124,117.197321081,34.310325639,24.8256951535
2008-01-22,14.5672003971,32.4390418137,122.914263572,27.1623411309,46.7307202889
2008-01-23,13.1104803574,30.9645399131,115.768085458,30.0215349342,29.2067001806
2008-01-24,21.8508005957,25.0665323106,105.763436097,25.7327442293,26.2860301625
2008-01-25,17.4806404765,36.8625475155,117.197321081,24.3031473277,17.5240201083
2008-01-26,8.74032023826,33.9135437143,137.206619802,31.4511318358,18.9843551174
2008-01-27,5.82688015884,39.8115513168,137.206619802,31.4511318358,18.9843551174
2008-01-28,18.9373605162,36.8625475155,112.909614212,28.5919380325,29.2067001806
2008-01-29,16.0239204368,32.4390418137,111.480378589,28.5919380325,37.9687102347
2008-01-30,23.3075206354,26.5410342112,115.768085458,22.873550426,30.6670351896
2008-01-31,24.7642406751,29.4900380124,117.197321081,28.5919380325,23.3653601445
2008-02-01,14.5672003971,33.9135437143,110.051142966,31.4511318358,17.5240201083
2008-02-02,17.4806404765,45.7095589193,112.909614212,34.310325639,23.3653601445
2008-02-03,17.4806404765,35.3880456149,120.055792327,32.8807287374,18.9843551174
2008-02-04,20.3940805559,28.0155361118,102.904964851,28.5919380325,26.2860301625
2008-02-05,20.3940805559,36.8625475155,110.051142966,25.7327442293,40.8893802528
2008-02-06,17.4806404765,30.9645399131,117.197321081,31.4511318358,27.7463651715
2008-02-07,23.3075206354,36.8625475155,124.343499195,32.8807287374,33.5877052077
2008-02-08,16.0239204368,38.3370494162,131.48967731,32.8807287374,23.3653601445
2008-02-09,14.5672003971,26.5410342112,125.772734818,30.0215349342,21.9050251354
