date,advantage,affluence,affluent,afloat,allowance,isPartial
2008-10-21,85,1,3,0,12,False
2008-10-22,81,1,1,1,12,False
2008-10-23,68,1,1,0,12,False
2008-10-24,64,0,1,0,12,False
2008-10-25,46,0,0,1,8,False
2008-10-26,52,0,0,0,6,False
2008-10-27,80,0,1,0,18,False
2008-10-28,72,2,2,1,15,False
2008-10-29,73,0,1,1,10,False
2008-10-30,84,0,1,1,12,False
2008-10-31,64,0,1,1,9,False
2008-11-01,46,1,1,0,9,False
2008-11-02,52,1,2,0,10,False
2008-11-03,71,0,1,0,14,False
2008-11-04,70,0,2,0,14,False
2008-11-05,70,0,1,1,8,False
2008-11-06,70,2,2,1,13,False
2008-11-07,70,0,1,0,10,False
2008-11-08,54,0,1,1,8,False
2008-11-09,55,1,1,0,8,False
2008-11-10,76,0,1,0,19,False
2008-11-11,76,1,1,1,11,False
2008-11-12,82,0,1,1,15,False
2008-11-13,84,0,0,2,18,False
2008-11-14,72,1,1,1,11,False
2008-11-15,58,1,0,1,10,False
2008-11-16,56,1,1,1,10,False
2008-11-17,82,0,3,2,11,False
2008-11-18,64,0,1,2,12,False
2008-11-19,71,0,1,1,9,False
2008-11-20,85,0,1,0,15,False
2008-11-21,72,0,0,2,10,False
2008-11-22,54,1,1,0,7,False
2008-11-23,47,0,2,1,12,False
2008-11-24,76,0,2,0,10,False
2008-11-25,65,0,0,0,10,False
2008-11-26,57,1,1,2,11,False
2008-11-27,45,0,1,1,6,False
2008-11-28,63,0,0,1,6,False
