date,betrothal,bonus,boom,breadwinner,buy
2004-07-23,0,2.22810984681,3.5900390625,0,81.8309131608
2004-07-24,0,4.45621969363,2.393359375,0,102.841553026
2004-07-25,0,3.34216477022,2.393359375,0,106.159022479
2004-07-26,0,2.22810984681,2.393359375,0,81.8309131608
2004-07-27,0,2.22810984681,2.393359375,0,84.0425594625
2004-07-28,0,2.22810984681,2.393359375,0,82.9367363116
2004-07-29,0,1.11405492341,3.5900390625,0,85.1483826133
2004-07-30,0,2.22810984681,3.5900390625,0,76.3017974067
2004-07-31,0,2.22810984681,3.5900390625,0,96.2066141215
2004-08-01,0,2.22810984681,3.5900390625,0,108.370668781
2004-08-02,0,3.34216477022,4.78671875,0,87.3600289149
2004-08-03,0,2.22810984681,2.393359375,0,85.1483826133
2004-08-04,0,2.22810984681,3.5900390625,0,77.4076205575
2004-08-05,0,3.34216477022,3.5900390625,0,77.4076205575
2004-08-06,0,2.22810984681,3.5900390625,0,85.1483826133
2004-08-07,0,2.22810984681,3.5900390625,0,106.159022479
2004-08-08,0,3.34216477022,3.5900390625,0,110.582315082
2004-08-09,0,2.22810984681,3.5900390625,0,89.5716752166
2004-08-10,0,2.22810984681,3.5900390625,0,85.1483826133
2004-08-11,0,2.22810984681,2.393359375,0,80.72509001
2004-08-12,0,2.22810984681,2.393359375,0,80.72509001
2004-08-13,0,2.22810984681,1.1966796875,0,85.1483826133
2004-08-14,0,4.45621969363,5.9833984375,0,96.2066141215
2004-08-15,0,1.11405492341,3.5900390625,0,98.4182604232
2004-08-16,0,2.22810984681,2.393359375,0,81.8309131608
2004-08-17,0,2.22810984681,3.5900390625,0,81.8309131608
2004-08-18,0,2.22810984681,3.5900390625,0,78.5134437084
2004-08-19,0,1.11405492341,3.5900390625,0,77.4076205575
2004-08-20,0,2.22810984681,2.393359375,0,82.9367363116
2004-08-21,0,3.34216477022,4.78671875,0,96.2066141215
2004-08-22,0,4.45621969363,2.393359375,0,99.524083574
2004-08-23,0,2.22810984681,2.393359375,0,77.4076205575
2004-08-24,0,1.11405492341,2.393359375,0,82.9367363116
2004-08-25,0,2.22810984681,2.393359375,0,79.6192668592
2004-08-26,0,2.22810984681,3.5900390625,0,80.72509001
2004-08-27,0,2.22810984681,3.5900390625,0,75.1959742559
2004-08-28,0,3.34216477022,5.9833984375,0,101.735729876
2004-08-29,0,3.34216477022,4.78671875,0,98.4182604232
2004-08-30,0,3.34216477022,3.5900390625,0,85.1483826133
2004-08-31,0,3.34216477022,3.5900390625,0,82.9367363116
2004-09-01,0,1.11405492341,3.5900390625,0,77.4076205575
2004-09-02,0,2.22810984681,3.5900390625,0,76.3017974067
2004-09-03,0,2.22810984681,3.5900390625,0,74.0901511051
2004-09-04,0,3.34216477022,2.393359375,0,87.3600289149
2004-09-05,0,2.22810984681,3.5900390625,0,106.159022479
2004-09-06,0,2.22810984681,3.5900390625,0,95.1007909707
2004-09-07,0,2.22810984681,3.5900390625,0,72.9843279543
2004-09-08,0,3.34216477022,3.5900390625,0,74.0901511051
2004-09-09,0,3.34216477022,2.393359375,0,74.0901511051
2004-09-10,0,2.22810984681,3.5900390625,0,66.3493890493
2004-09-11,0,3.34216477022,4.125,0,88.4658520658
2004-09-12,0,2.22810984681,2.0625,0,99.524083574
2004-09-13,0,3.34216477022,2.0625,0,79.6192668592
2004-09-14,0,2.22810984681,4.125,0,74.0901511051
2004-09-15,0,2.22810984681,4.125,0,70.7726816526
2004-09-16,0,2.22810984681,4.125,0,70.7726816526
2004-09-17,0,2.22810984681,2.0625,0,77.4076205575
2004-09-18,0,2.22810984681,4.125,0,86.2542057641
2004-09-19,0,2.22810984681,4.125,0,106.159022479
2004-09-20,0,3.34216477022,2.0625,0,80.72509001
2004-09-21,0,2.22810984681,2.0625,0,72.9843279543
2004-09-22,0,3.34216477022,2.0625,0,74.0901511051
2004-09-23,0,3.34216477022,4.125,0,69.6668585018
2004-09-24,0,3.34216477022,2.0625,0,74.0901511051
2004-09-25,0,3.34216477022,2.0625,0,98.4182604232
2004-09-26,0,4.45621969363,2.0625,0,96.2066141215
2004-09-27,0,2.4021809286,4.125,0,77.2408776807
2004-09-28,0,2.4021809286,4.125,0,71.4478118546
2004-09-29,0,4.80436185719,2.0625,0,73.3788337967
2004-09-30,0,2.4021809286,4.125,0,69.5167899126
2004-10-01,0,4.80436185719,2.0625,0,75.3098557387
2004-10-02,0,2.4021809286,2.0625,0,84.9649654488
2004-10-03,0,4.80436185719,4.125,0,88.8270093328
2004-10-04,0,2.4021809286,2.0625,0,69.5167899126
2004-10-05,0,2.4021809286,2.0625,0,75.3098557387
2004-10-06,0,2.4021809286,2.0625,0,73.3788337967
2004-10-07,0,4.80436185719,4.125,0,73.3788337967
2004-10-08,0,2.4021809286,4.125,0,71.4478118546
2004-10-09,0,4.80436185719,4.125,0,94.6200751588
2004-10-10,0,4.80436185719,2.0625,0,90.7580312748
2004-10-11,0,4.80436185719,2.0625,0,83.0339435067
2004-10-12,0,2.4021809286,4.125,0,83.0339435067
2004-10-13,0,2.4021809286,2.0625,0,73.3788337967
2004-10-14,0,2.4021809286,2.0625,0,71.4478118546
2004-10-15,0,4.80436185719,2.0625,0,75.3098557387
2004-10-16,0,7.20654278579,4.125,0,96.5510971009
2004-10-17,0,4.80436185719,6.1875,0,92.6890532168
