date,luxury,meritorious,nobility,nobleman,partner,isPartial
2007-05-22,66,1,1,0,39,False
2007-05-23,68,1,1,0,41,False
2007-05-24,64,1,1,1,27,False
2007-05-25,72,0,2,1,27,False
2007-05-26,66,1,0,0,27,False
2007-05-27,81,0,1,2,32,False
2007-05-28,89,1,1,0,27,False
2007-05-29,65,1,1,0,28,False
2007-05-30,75,1,2,0,27,False
2007-05-31,69,1,2,0,33,False
2007-06-01,71,0,1,0,35,False
2007-06-02,82,0,2,0,19,False
2007-06-03,81,0,2,0,19,False
2007-06-04,65,1,1,0,30,False
2007-06-05,67,1,2,1,37,False
2007-06-06,66,2,0,0,32,False
2007-06-07,78,1,1,0,26,False
2007-06-08,58,1,1,0,30,False
2007-06-09,82,1,2,0,20,False
2007-06-10,68,0,5,0,24,False
2007-06-11,76,1,0,1,33,False
2007-06-12,83,1,1,0,33,False
2007-06-13,68,0,1,0,31,False
2007-06-14,83,0,1,0,33,False
2007-06-15,73,1,0,0,23,False
2007-06-16,74,1,2,0,28,False
2007-06-17,74,0,0,0,43,False
2007-06-18,82,0,2,0,35,False
2007-06-19,73,1,3,2,40,False
2007-06-20,63,1,1,0,34,False
2007-06-21,72,0,0,0,37,False
2007-06-22,69,0,1,0,35,False
2007-06-23,86,1,3,1,31,False
2007-06-24,96,0,1,0,38,False
2007-06-25,77,1,1,0,33,False
2007-06-26,82,2,2,0,40,False
2007-06-27,75,1,1,0,43,False
2007-06-28,70,1,1,0,29,False
2007-06-29,72,1,1,0,28,False
2007-06-30,100,0,1,1,22,False
2007-07-01,78,2,1,0,26,False
2007-07-02,87,1,1,0,30,False
2007-07-03,73,0,3,0,35,False
2007-07-04,73,0,4,0,23,False
2007-07-05,81,0,2,0,33,False
2007-07-06,78,0,1,0,34,False
2007-07-07,74,1,1,0,18,False
2007-07-08,80,0,0,0,25,False
2007-07-09,73,1,2,0,30,False
