date,poverty,recession,crisis,bonus,entrepreneurial
2004-05-02,63.7827678428,0.0,70.1353803287,40.0398120939,3.15915486836
2004-05-03,73.3501830193,6.95111111111,105.203070493,25.3585476595,0.0
2004-05-04,79.7284598035,5.21333333333,99.1043417688,41.374472497,4.21220649115
2004-05-05,102.052428549,1.73777777778,76.234109053,28.0278684657,2.10610324557
2004-05-06,97.2687209603,0.0,117.400527942,24.0238872563,0.0
2004-05-07,41.4587990978,0.0,100.62902395,32.0318496751,4.21220649115
2004-05-08,47.8370758821,0.0,89.9562486825,25.3585476595,0.0
2004-05-09,52.6207834703,9.55777777778,62.5119694234,29.3625288689,4.21220649115
2004-05-10,78.1338906075,6.95111111111,138.746078476,18.6852456438,0.0
2004-05-11,79.7284598035,0.0,117.400527942,38.7051516908,4.21220649115
2004-05-12,63.7827678428,0.0,86.9068843204,36.0358308845,2.10610324557
2004-05-13,68.566475431,3.47555555556,111.301799217,26.6932080626,0.0
2004-05-14,44.64793749,1.73777777778,93.0056130446,41.374472497,2.10610324557
2004-05-15,39.8642299018,0.0,82.3328377772,38.7051516908,0.0
2004-05-16,57.4044910586,0.0,76.234109053,24.0238872563,0.0
2004-05-17,79.7284598035,6.95111111111,125.023938847,16.0159248376,0.0
2004-05-18,86.1067365878,1.73777777778,73.1847446908,20.019906047,2.10610324557
2004-05-19,55.8099218625,6.95111111111,118.925210123,38.7051516908,4.21220649115
2004-05-20,65.3773370389,5.21333333333,123.499256666,29.3625288689,2.10610324557
2004-05-21,33.4859531175,1.73777777778,93.0056130446,36.0358308845,2.10610324557
2004-05-22,52.6207834703,3.47555555556,65.5613337855,9.34262282191,0.0
2004-05-23,51.0262142743,3.47555555556,102.153706131,24.0238872563,0.0
2004-05-24,43.0533682939,0.0,106.727752674,57.3903973346,2.10610324557
2004-05-25,90.890444176,3.47555555556,131.122667571,36.0358308845,6.31830973672
2004-05-26,51.0262142743,3.47555555556,131.122667571,40.0398120939,2.10610324557
2004-05-27,46.2425066861,5.21333333333,91.4809308636,41.374472497,2.10610324557
2004-05-28,66.971906235,1.73777777778,35.0676901644,49.3824349158,0.0
2004-05-29,23.9185379411,0.0,88.4315665014,46.7131141096,0.0
2004-05-30,31.8913839214,0.0,56.4132406992,38.7051516908,0.0
2004-05-31,36.6750915096,6.08222222222,70.1353803287,38.7051516908,0.0
2004-06-01,54.2153526664,1.73777777778,85.3822021393,40.0398120939,4.21220649115
2004-06-02,25.5131071371,1.73777777778,99.1043417688,26.6932080626,2.10610324557
2004-06-03,65.3773370389,1.73777777778,65.5613337855,30.697189272,0.0
2004-06-04,70.1610446271,1.73777777778,70.1353803287,29.3625288689,4.21220649115
2004-06-05,22.323968745,3.47555555556,54.8885585181,53.3864161252,0.0
2004-06-06,33.4859531175,9.55777777778,53.3638763371,48.0477745127,0.0
2004-06-07,41.4587990978,5.21333333333,83.8575199583,41.374472497,6.31830973672
2004-06-08,79.7284598035,5.21333333333,70.1353803287,37.3704912877,2.10610324557
2004-06-09,71.7556138232,0.0,79.2834734151,41.374472497,0.0
2004-06-10,73.3501830193,6.95111111111,67.0860159666,30.697189272,2.10610324557
2004-06-11,25.5131071371,6.08222222222,56.4132406992,28.0278684657,0.0
2004-06-12,30.2968147253,0.0,45.7404654318,45.3784537064,8.4244129823
2004-06-13,11.1619843725,3.47555555556,141.795442839,54.7210765283,0.0
2004-06-14,51.0262142743,3.47555555556,77.758791234,52.0517557221,0.0
2004-06-15,57.4044910586,3.47555555556,67.0860159666,32.0318496751,2.10610324557
2004-06-16,33.4859531175,6.95111111111,73.1847446908,30.697189272,8.4244129823
2004-06-17,20.7293995489,3.47555555556,64.0366516045,28.0278684657,6.31830973672
2004-06-18,28.7022455293,0.0,30.4936436212,24.0238872563,2.10610324557
2004-06-19,47.8370758821,3.47555555556,39.6417367075,34.7011704814,0.0
2004-06-20,55.8099218625,0.0,96.0549774067,41.374472497,0.0
2004-06-21,43.0533682939,1.73777777778,50.314511975,36.0358308845,6.31830973672
2004-06-22,41.4587990978,6.95111111111,86.9068843204,26.6932080626,2.10610324557
