date,squander,tariff,underworld,uneconomical,unemployed
2004-05-20,0.0,33.2484836564,39.3327324375,0.0,9.02077822619
2004-05-21,0.0,13.9993615395,52.44364325,0.0,0.0
2004-05-22,0.0,6.99968076976,68.1767362249,0.0,0.0
2004-05-23,0.0,6.99968076976,123.242561637,0.0,7.21662258095
2004-05-24,0.0,3.49984038488,31.46618595,0.0,0.0
2004-05-25,0.0,12.2494413471,31.46618595,0.0,16.2374008071
2004-05-26,0.0,17.4992019244,26.221821625,0.0,3.60831129047
2004-05-27,0.0,8.7496009622,26.221821625,0.0,5.41246693571
2004-05-28,0.0,13.9993615395,36.710550275,0.0,5.41246693571
2004-05-29,0.0,33.2484836564,73.4211005499,0.0,9.02077822619
2004-05-30,0.0,0.0,62.9323718999,0.0,0.0
2004-05-31,0.0,0.0,112.753832987,0.0,0.0
2004-06-01,0.0,20.9990423093,57.688007575,0.0,18.0415564524
2004-06-02,0.0,20.9990423093,68.1767362249,0.0,9.02077822619
2004-06-03,0.0,8.7496009622,18.3552751375,0.0,9.02077822619
2004-06-04,0.0,5.24976057732,34.0883681125,0.0,5.41246693571
2004-06-05,0.0,6.99968076976,68.1767362249,0.0,0.0
2004-06-06,0.0,0.0,68.1767362249,0.0,0.0
2004-06-07,0.0,3.49984038488,62.9323718999,0.0,3.60831129047
2004-06-08,0.0,17.4992019244,49.8214610875,0.0,3.60831129047
2004-06-09,0.0,26.2488028866,18.3552751375,0.0,0.0
2004-06-10,0.0,13.9993615395,26.221821625,0.0,18.0415564524
2004-06-11,0.0,10.4995211546,52.44364325,0.0,10.8249338714
2004-06-12,0.0,0.0,34.0883681125,0.0,7.21662258095
2004-06-13,0.0,0.0,13.1109108125,0.0,0.0
2004-06-14,0.0,12.2494413471,65.5545540624,0.0,0.0
2004-06-15,0.0,8.7496009622,31.46618595,0.0,0.0
2004-06-16,0.0,17.4992019244,18.3552751375,0.0,0.0
2004-06-17,0.0,31.4985634639,47.199278925,0.0,9.02077822619
2004-06-18,0.0,19.2491221168,41.9549146,0.0,25.2581790333
2004-06-19,0.0,6.99968076976,47.199278925,0.0,7.21662258095
2004-06-20,0.0,8.7496009622,13.1109108125,0.0,0.0
2004-06-21,0.0,3.49984038488,31.46618595,0.0,9.02077822619
2004-06-22,0.0,8.7496009622,13.1109108125,0.0,18.0415564524
2004-06-23,0.0,8.7496009622,44.5770967625,0.0,3.60831129047
2004-06-24,0.0,5.24976057732,13.1109108125,0.0,9.02077822619
2004-06-25,0.0,8.7496009622,41.9549146,0.0,9.02077822619
2004-06-26,0.0,6.99968076976,44.5770967625,0.0,30.670645969
2004-06-27,0.0,0.0,73.4211005499,0.0,0.0
2004-06-28,0.0,26.2488028866,18.3552751375,0.0,3.60831129047
2004-06-29,0.0,17.4992019244,26.221821625,0.0,3.60831129047
2004-06-30,0.0,8.7496009622,34.0883681125,0.0,9.02077822619
2004-07-01,0.0,13.9993615395,41.9549146,0.0,0.0
2004-07-02,0.0,0.0,20.9774573,0.0,19.8457120976
2004-07-03,0.0,15.749281732,47.199278925,0.0,9.02077822619
2004-07-04,0.0,8.7496009622,52.44364325,0.0,9.02077822619
2004-07-05,0.0,6.99968076976,41.9549146,0.0,7.21662258095
2004-07-06,0.0,8.7496009622,31.46618595,0.0,0.0
