,index
2004-05-13 00:00:00,24.319142927028295
2004-05-14 00:00:00,34.98634715247572
2004-05-15 00:00:00,3.9621443823162537
2004-05-16 00:00:00,15.694610689993318
2004-05-17 00:00:00,20.446528594324437
2004-05-18 00:00:00,36.957215836398156
2004-05-19 00:00:00,21.0818560284629
2004-05-20 00:00:00,36.47265382995053
2004-05-21 00:00:00,37.61907815311399
2004-05-22 00:00:00,8.856340812358376
2004-05-23 00:00:00,30.97121607611441
2004-05-24 00:00:00,15.77377618190404
2004-05-25 00:00:00,23.264483765690837
2004-05-26 00:00:00,37.58535852795646
2004-05-27 00:00:00,54.13521138195796
2004-05-28 00:00:00,27.72610859358175
2004-05-29 00:00:00,28.941897512462983
2004-05-30 00:00:00,13.916995658733338
2004-05-31 00:00:00,9.550711833119628
