date,radical,ruin,segregation,shortage,steal,isPartial
2015-10-23,49,31,23,17,71,False
2015-10-24,26,27,7,14,81,False
2015-10-25,44,30,14,20,79,False
2015-10-26,67,26,29,21,57,False
2015-10-27,62,29,27,22,61,False
2015-10-28,53,26,24,19,97,False
2015-10-29,56,32,28,25,75,False
2015-10-30,48,26,21,16,64,False
2015-10-31,33,35,8,11,70,False
2015-11-01,41,27,13,15,91,False
2015-11-02,52,27,32,25,80,False
2015-11-03,57,26,31,28,70,False
2015-11-04,57,28,29,19,59,False
2015-11-05,66,36,28,21,89,False
2015-11-06,55,25,26,20,73,False
2015-11-07,32,37,13,14,68,False
2015-11-08,42,40,13,22,73,False
2015-11-09,62,29,39,19,63,False
2015-11-10,58,28,34,23,66,False
2015-11-11,53,31,26,23,56,False
2015-11-12,65,24,38,24,63,False
