date,cost,crisis,deficit,depreciation,domination
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,87.5911011651,8.41584980514,11.0999060621,5.17351930816,1.26242156698
2004-03-11,86.560617622,16.8316996103,6.16661447894,0.0,1.26242156698
2004-03-12,79.3472328202,9.46783103078,8.63326027051,2.58675965408,0.631210783491
2004-03-13,75.2252986477,4.20792490257,6.16661447894,7.76027896224,3.78726470094
2004-03-14,88.6215847082,12.6237747077,4.93329158315,5.17351930816,0.631210783491
2004-03-15,81.4081999064,13.6757559334,8.63326027051,7.76027896224,2.52484313396
2004-03-16,82.4386834495,8.41584980514,6.16661447894,7.76027896224,1.26242156698
2004-03-17,76.2557821908,13.6757559334,6.16661447894,5.17351930816,0.631210783491
