date,unprofitable,vagabond,vagrant
2004-07-23,0.0,83.10805574,0.0
2004-07-24,0.0,0.0,0.0
2004-07-25,0.0,134.045251194,88.2219890093
2004-07-26,0.0,0.0,105.866386811
2004-07-27,0.0,147.449776313,0.0
2004-07-28,0.0,0.0,98.8086276904
2004-07-29,0.0,40.2135753581,0.0
2004-07-30,0.0,83.10805574,0.0
2004-07-31,0.0,265.409597363,0.0
2004-08-01,0.0,134.045251194,88.2219890093
2004-08-02,0.0,37.5326703342,98.8086276904
2004-08-03,0.0,75.0653406684,49.4043138452
2004-08-04,0.0,115.278916026,98.8086276904
2004-08-05,0.0,77.7462456923,52.9331934056
2004-08-06,0.0,83.10805574,0.0
2004-08-07,0.0,134.045251194,88.2219890093
2004-08-08,0.0,203.748781814,0.0
2004-08-09,0.0,152.811586361,151.741821096
2004-08-10,0.0,37.5326703342,49.4043138452
2004-08-11,0.0,0.0,98.8086276904
2004-08-12,0.0,187.663351671,148.212941536
2004-08-13,0.0,80.4271507161,105.866386811
2004-08-14,0.0,64.3417205729,84.6931094489
2004-08-15,0.0,0.0,88.2219890093
2004-08-16,0.0,75.0653406684,98.8086276904
2004-08-17,0.0,37.5326703342,49.4043138452
2004-08-18,0.0,37.5326703342,49.4043138452
2004-08-19,0.0,75.0653406684,98.8086276904
2004-08-20,0.0,120.640726074,0.0
2004-08-21,0.0,61.660815549,165.857339337
2004-08-22,0.0,64.3417205729,0.0
2004-08-23,0.0,72.3844356445,0.0
2004-08-24,0.0,34.8517653103,45.8754342848
2004-08-25,0.0,107.236200955,141.155182415
2004-08-26,0.0,37.5326703342,49.4043138452
2004-08-27,0.0,198.386971766,52.9331934056
2004-08-28,0.0,61.660815549,81.1642298886
2004-08-29,0.0,182.301541623,81.1642298886
2004-08-30,0.0,34.8517653103,0.0
2004-08-31,0.0,34.8517653103,45.8754342848
2004-09-01,0.0,34.8517653103,0.0
2004-09-02,0.0,72.3844356445,0.0
2004-09-03,0.0,40.2135753581,105.866386811
2004-09-04,0.0,190.344256695,0.0
2004-09-05,0.0,131.36434617,257.608207907
2004-09-06,0.0,107.236200955,70.5775912074
2004-09-07,0.0,0.0,91.7508685697
2004-09-08,0.0,69.7035306207,0.0
2004-09-09,0.0,206.429686838,91.7508685697
2004-09-10,0.0,0.0,98.8086276904
2004-09-11,0.0,174.258826552,0.0
2004-09-12,0.0,56.2990055013,74.5043144216
2004-09-13,0.0,67.0226255968,44.702588653
2004-09-14,0.0,0.0,40.9773729319
2004-09-15,0.0,67.0226255968,85.6799615848
2004-09-16,0.0,0.0,89.4051773059
2004-09-17,0.0,0.0,0.0
2004-09-18,0.0,171.577921528,0.0
2004-09-19,0.0,112.598011003,0.0
2004-09-20,0.0,34.8517653103,171.35992317
2004-09-21,0.0,32.1708602865,85.6799615848
2004-09-22,0.0,0.0,40.9773729319
2004-09-23,0.0,0.0,0.0
2004-09-24,0.0,34.8517653103,48.427804374
2004-09-25,0.0,115.278916026,0.0
2004-09-26,0.0,0.0,219.787727544
2004-09-27,0.0,113.298495218,40.9773729319
2004-09-28,0.0,106.633877853,81.9547458637
2004-09-29,0.0,0.0,167.634707449
2004-09-30,0.0,153.286199413,0.0
2004-10-01,0.0,83.3077170724,0.0
2004-10-02,0.0,66.6461736579,149.008628843
2004-10-03,0.0,63.313864975,70.7790987005
2004-10-04,0.0,0.0,40.9773729319
2004-10-05,0.0,0.0,0.0
2004-10-06,0.0,76.6430997066,40.9773729319
2004-10-07,0.0,0.0,44.702588653
2004-10-08,0.0,0.0,44.702588653
2004-10-09,0.0,0.0,230.963374707
2004-10-10,0.0,66.6461736579,74.5043144216
2004-10-11,0.0,236.593916486,44.702588653
2004-10-12,0.0,0.0,175.085138891
2004-10-13,0.0,146.621582047,55.8782358162
2004-10-14,0.0,76.6430997066,0.0
2004-10-15,0.0,163.283125462,0.0
2004-10-16,0.0,66.6461736579,0.0
2004-10-17,0.0,63.313864975,0.0
2004-10-18,0.0,146.621582047,0.0
2004-10-19,0.0,73.3107910237,81.9547458637
2004-10-20,0.0,36.6553955119,0.0
2004-10-21,0.0,113.298495218,85.6799615848
2004-10-22,0.0,39.9877041947,0.0
2004-10-23,0.0,63.313864975,0.0
2004-10-24,0.0,0.0,0.0
2004-10-25,0.0,36.6553955119,81.9547458637
2004-10-26,0.0,36.6553955119,0.0
2004-10-27,0.0,0.0,0.0
2004-10-28,0.0,36.6553955119,0.0
2004-10-29,0.0,333.23086829,0.0
2004-10-30,0.0,93.3046431211,0.0
2004-10-31,0.0,196.606212291,0.0
2004-11-01,0.0,76.6430997066,126.657334517
2004-11-02,0.0,33.323086829,0.0
2004-11-03,0.0,0.0,0.0
2004-11-04,0.0,0.0,0.0
2004-11-05,0.0,79.9754083895,44.702588653
2004-11-06,0.0,63.313864975,0.0
2004-11-07,0.0,126.62772995,141.558197401
2004-11-08,0.0,139.956964682,0.0
2004-11-09,0.0,0.0,0.0
2004-11-10,0.0,49.9846302434,55.8782358162
2004-11-11,0.0,39.9877041947,44.702588653
2004-11-12,0.0,0.0,85.6799615848
2004-11-13,0.0,123.295421267,0.0
2004-11-14,0.0,59.9815562921,67.0538829794
2004-11-15,0.0,36.6553955119,40.9773729319
2004-11-16,0.0,69.9784823408,0.0
2004-11-17,0.0,36.6553955119,40.9773729319
2004-11-18,0.0,36.6553955119,40.9773729319
2004-11-19,0.0,263.252385949,149.008628843
2004-11-20,0.0,0.0,0.0
2004-11-21,0.0,0.0,0.0
2004-11-22,0.0,69.9784823408,0.0
2004-11-23,0.0,146.621582047,40.9773729319
2004-11-24,0.0,43.3200128776,0.0
2004-11-25,0.0,209.935447022,0.0
2004-11-26,0.0,123.295421267,70.7790987005
2004-11-27,0.0,63.313864975,0.0
2004-11-28,0.0,0.0,0.0
2004-11-29,0.0,0.0,78.2295301427
2004-11-30,0.0,166.615434145,74.5043144216
2004-12-01,0.0,173.280051511,37.2521572108
