date,aristocracy,aristocrat,aristocratic,associate,backer
2004-05-14,22.8665906635,0.0,0.0,48.0790538199,7.04784271599
2004-05-15,0.0,0.0,0.0,36.0592903649,0.0
2004-05-16,0.0,0.0,0.0,29.5030557531,22.905488827
2004-05-17,0.0,0.0,0.0,52.4498768944,0.0
2004-05-18,0.0,3.75865856922,0.0,59.0061115062,0.0
2004-05-19,0.0,10.3363110654,0.0,54.6352884317,7.04784271599
2004-05-20,0.0,7.51731713844,0.0,53.542582663,0.0
2004-05-21,22.8665906635,7.51731713844,0.0,55.7279942003,0.0
2004-05-22,0.0,6.57765249614,0.0,43.7082307453,0.0
2004-05-23,74.3164196563,12.21564035,0.0,36.0592903649,0.0
2004-05-24,0.0,0.0,0.0,60.0988172748,0.0
2004-05-25,0.0,6.57765249614,0.0,60.0988172748,12.333724753
2004-05-26,0.0,6.57765249614,0.0,40.4301134394,19.381567469
2004-05-27,22.8665906635,0.0,0.0,67.7477576553,21.143528148
2004-05-28,0.0,8.45698178075,0.0,56.8206999689,15.857646111
2004-05-29,40.0165336611,0.0,0.0,31.6884672904,12.333724753
2004-05-30,0.0,0.0,0.0,74.3039922671,26.4294101849
2004-05-31,0.0,5.63798785383,0.0,32.781173059,0.0
2004-06-01,0.0,0.0,0.0,77.582109573,19.381567469
2004-06-02,0.0,3.75865856922,0.0,52.4498768944,0.0
2004-06-03,22.8665906635,0.0,0.0,75.3966980357,7.04784271599
2004-06-04,0.0,3.75865856922,0.0,36.0592903649,0.0
2004-06-05,0.0,0.0,0.0,14.2051749922,0.0
2004-06-06,0.0,6.57765249614,0.0,43.7082307453,12.333724753
2004-06-07,0.0,0.0,0.0,45.8936422826,0.0
2004-06-08,0.0,10.3363110654,0.0,32.781173059,26.4294101849
2004-06-09,0.0,0.0,0.0,45.8936422826,7.04784271599
2004-06-10,0.0,7.51731713844,0.0,42.6155249767,21.143528148
2004-06-11,22.8665906635,3.75865856922,0.0,56.8206999689,7.04784271599
2004-06-12,0.0,19.7329574884,0.0,38.2447019022,0.0
2004-06-13,40.0165336611,0.0,0.0,30.5957615217,0.0
2004-06-14,0.0,7.51731713844,0.0,53.542582663,7.04784271599
2004-06-15,0.0,7.51731713844,0.0,32.781173059,7.04784271599
2004-06-16,22.8665906635,7.51731713844,0.0,50.2644653571,7.04784271599
2004-06-17,0.0,3.75865856922,0.0,55.7279942003,0.0
2004-06-18,0.0,7.51731713844,0.0,74.3039922671,0.0
2004-06-19,0.0,0.0,0.0,45.8936422826,0.0
2004-06-20,0.0,27.2502746269,0.0,48.0790538199,0.0
2004-06-21,22.8665906635,3.75865856922,0.0,54.6352884317,7.04784271599
2004-06-22,0.0,7.51731713844,0.0,37.1519961335,7.04784271599
2004-06-23,0.0,0.0,0.0,72.1185807298,14.095685432
2004-06-24,0.0,0.0,0.0,78.6748153416,0.0
2004-06-25,0.0,0.0,0.0,45.8936422826,7.04784271599
2004-06-26,0.0,0.0,0.0,15.2978807609,24.667449506
2004-06-27,0.0,6.57765249614,0.0,39.3374076708,37.0011742589
2004-06-28,0.0,3.75865856922,0.0,84.1383441848,0.0
2004-06-29,22.8665906635,0.0,0.0,41.5228192081,19.381567469
2004-06-30,0.0,7.51731713844,0.0,45.8936422826,14.095685432
2004-07-01,0.0,7.51731713844,0.0,56.8206999689,0.0
2004-07-02,0.0,8.45698178075,0.0,48.0790538199,0.0
2004-07-03,0.0,6.57765249614,0.0,39.3374076708,0.0
2004-07-04,0.0,7.51731713844,0.0,33.8738788276,14.095685432
2004-07-05,0.0,5.63798785383,0.0,14.2051749922,10.571764074
2004-07-06,0.0,3.75865856922,0.0,54.6352884317,14.095685432
2004-07-07,0.0,3.75865856922,0.0,49.1717595885,12.333724753
2004-07-08,22.8665906635,3.75865856922,0.0,109.270576863,21.143528148
2004-07-09,0.0,0.0,0.0,36.0592903649,7.04784271599
2004-07-10,40.0165336611,0.0,0.0,21.8541153727,0.0
2004-07-11,0.0,18.7932928461,0.0,43.7082307453,47.5729383329
2004-07-12,22.8665906635,3.75865856922,0.0,16.3905865295,0.0
2004-07-13,0.0,0.0,0.0,52.4498768944,12.333724753
2004-07-14,0.0,0.0,0.0,72.1185807298,0.0
2004-07-15,0.0,9.39664642305,0.0,54.6352884317,8.80980339498
2004-07-16,0.0,0.0,0.0,68.8404634239,0.0
2004-07-17,0.0,6.57765249614,0.0,43.7082307453,0.0
2004-07-18,40.0165336611,0.0,0.0,42.6155249767,12.333724753
2004-07-19,0.0,0.0,0.0,73.2112864984,7.04784271599
2004-07-20,0.0,6.57765249614,0.0,40.4301134394,26.4294101849
2004-07-21,22.8665906635,7.51731713844,0.0,69.9331691925,7.04784271599
2004-07-22,0.0,0.0,0.0,59.0061115062,7.04784271599
2004-07-23,0.0,7.51731713844,0.0,36.0592903649,0.0
2004-07-24,0.0,0.0,0.0,28.4103499845,0.0
2004-07-25,0.0,0.0,0.0,36.0592903649,12.333724753
2004-07-26,0.0,0.0,0.0,72.1185807298,21.143528148
2004-07-27,0.0,0.0,0.0,39.3374076708,7.04784271599
2004-07-28,0.0,3.75865856922,0.0,37.1519961335,7.04784271599
2004-07-29,0.0,7.51731713844,0.0,45.8936422826,14.095685432
2004-07-30,0.0,3.75865856922,0.0,31.6884672904,7.04784271599
2004-07-31,40.0165336611,12.21564035,0.0,36.0592903649,12.333724753
2004-08-01,0.0,0.0,0.0,14.2051749922,0.0
2004-08-02,0.0,3.75865856922,0.0,56.8206999689,12.333724753
2004-08-03,0.0,0.0,0.0,84.1383441848,7.04784271599
2004-08-04,0.0,0.0,0.0,57.9134057376,14.095685432
2004-08-05,0.0,14.0949696346,0.0,50.2644653571,0.0
2004-08-06,22.8665906635,0.0,0.0,49.1717595885,7.04784271599
2004-08-07,0.0,18.7932928461,0.0,50.2644653571,12.333724753
2004-08-08,0.0,18.7932928461,0.0,37.1519961335,0.0
2004-08-09,0.0,3.75865856922,0.0,44.800936514,0.0
2004-08-10,0.0,10.3363110654,0.0,43.7082307453,0.0
2004-08-11,0.0,6.57765249614,0.0,60.0988172748,12.333724753
2004-08-12,22.8665906635,3.75865856922,0.0,56.8206999689,7.04784271599
2004-08-13,0.0,0.0,0.0,34.9665845963,7.04784271599
2004-08-14,34.2998859952,0.0,0.0,34.9665845963,0.0
2004-08-15,0.0,0.0,0.0,28.4103499845,10.571764074
2004-08-16,22.8665906635,6.57765249614,0.0,72.1185807298,7.04784271599
2004-08-17,0.0,3.75865856922,0.0,67.7477576553,26.4294101849
2004-08-18,0.0,3.75865856922,0.0,60.0988172748,0.0
2004-08-19,0.0,3.75865856922,0.0,65.562346118,0.0
2004-08-20,0.0,0.0,0.0,52.4498768944,0.0
2004-08-21,68.5997719904,0.0,0.0,54.6352884317,0.0
2004-08-22,34.2998859952,0.0,0.0,41.5228192081,10.571764074
2004-08-23,22.8665906635,3.75865856922,0.0,63.3769345807,0.0
2004-08-24,0.0,2.81899392692,0.0,26.2249384472,24.667449506
2004-08-25,0.0,0.0,0.0,54.6352884317,7.04784271599
2004-08-26,0.0,3.75865856922,0.0,61.1915230435,7.04784271599
2004-08-27,0.0,0.0,0.0,46.9863480512,14.095685432
2004-08-28,0.0,0.0,0.0,27.3176442158,0.0
2004-08-29,0.0,5.63798785383,0.0,32.781173059,0.0
2004-08-30,0.0,9.39664642305,0.0,49.1717595885,5.28588203699
2004-08-31,0.0,2.81899392692,0.0,72.1185807298,12.333724753
2004-09-01,0.0,0.0,0.0,57.9134057376,0.0
2004-09-02,0.0,3.75865856922,0.0,39.3374076708,7.04784271599
2004-09-03,0.0,7.51731713844,0.0,33.8738788276,14.095685432
2004-09-04,0.0,11.2759757077,0.0,27.3176442158,10.571764074
2004-09-05,34.2998859952,0.0,0.0,56.8206999689,0.0
2004-09-06,62.8831243246,4.69832321153,0.0,22.9468211413,8.80980339498
2004-09-07,40.0165336611,2.81899392692,0.0,60.0988172748,5.28588203699
2004-09-08,0.0,6.57765249614,0.0,77.582109573,5.28588203699
2004-09-09,40.0165336611,12.21564035,0.0,69.9331691925,12.333724753
2004-09-10,0.0,3.75865856922,0.0,55.7279942003,0.0
2004-09-11,42.8030812411,5.63798785383,0.0,38.2447019022,21.143528148
2004-09-12,42.8030812411,0.0,0.0,61.1915230435,10.571764074
2004-09-13,0.0,6.57765249614,0.0,65.562346118,5.28588203699
2004-09-14,24.4589035663,2.81899392692,0.0,28.4103499845,10.571764074
2004-09-15,48.9178071326,2.81899392692,0.0,71.0258749612,0.0
2004-09-16,24.4589035663,6.57765249614,0.0,55.7279942003,5.28588203699
2004-09-17,24.4589035663,0.0,0.0,38.2447019022,19.381567469
2004-09-18,0.0,0.0,0.0,25.1322326786,29.9533315429
2004-09-19,0.0,0.0,0.0,30.5957615217,0.0
2004-09-20,24.4589035663,2.81899392692,0.0,54.6352884317,0.0
2004-09-21,24.4589035663,2.81899392692,0.0,20.761409604,10.571764074
2004-09-22,73.3767106989,0.0,0.0,57.9134057376,5.28588203699
2004-09-23,0.0,9.39664642305,0.0,46.9863480512,12.333724753
2004-09-24,55.0325330242,10.3363110654,0.0,34.9665845963,7.04784271599
2004-09-25,42.8030812411,11.2759757077,0.0,56.8206999689,10.571764074
2004-09-26,42.8030812411,0.0,0.0,79.7675211102,10.571764074
2004-09-27,0.0,11.2295087748,0.0,76.2511810606,0.0
2004-09-28,0.0,0.0,0.0,61.0009448485,14.6907315579
2004-09-29,48.9178071326,7.4863391832,0.0,42.4828008766,16.0262526086
2004-09-30,0.0,3.7431695916,0.0,59.9116422619,5.34208420286
2004-10-01,0.0,3.7431695916,0.0,61.0009448485,5.34208420286
2004-10-02,0.0,6.5505467853,0.0,52.2865241558,0.0
2004-10-03,0.0,0.0,0.0,28.3218672511,9.348647355
2004-10-04,24.4589035663,7.4863391832,0.0,70.8046681277,0.0
2004-10-05,0.0,3.7431695916,0.0,65.3581551948,10.6841684057
2004-10-06,24.4589035663,7.4863391832,0.0,68.6260629545,5.34208420286
2004-10-07,0.0,7.4863391832,0.0,40.3041957034,21.3683368114
2004-10-08,0.0,3.7431695916,0.0,46.8400112229,22.7038578621
2004-10-09,0.0,0.0,0.0,22.8753543182,0.0
2004-10-10,85.6061624821,13.1010935706,0.0,29.4111698376,36.0590683693
2004-10-11,0.0,3.7431695916,0.0,57.7330370887,5.34208420286
2004-10-12,0.0,29.9453567328,0.0,34.8576827705,0.0
2004-10-13,30.5736294579,0.0,0.0,59.9116422619,6.67760525357
2004-10-14,0.0,7.4863391832,0.0,39.2148931169,10.6841684057
2004-10-15,0.0,0.0,0.0,55.5544319156,5.34208420286
2004-10-16,0.0,0.0,0.0,37.0362879437,18.69729471
2004-10-17,0.0,18.715847958,0.0,14.1609336255,9.348647355
2004-10-18,0.0,7.4863391832,0.0,66.4474577813,10.6841684057
2004-10-19,0.0,6.5505467853,0.0,49.0186163961,9.348647355
2004-10-20,0.0,3.7431695916,0.0,58.8223396753,5.34208420286
2004-10-21,0.0,3.7431695916,0.0,88.2335095129,5.34208420286
2004-10-22,0.0,19.6516403559,0.0,94.7693250324,0.0
2004-10-23,42.8030812411,6.5505467853,0.0,71.8939707142,17.3617736593
2004-10-24,36.6883553495,12.1653011727,0.0,49.0186163961,0.0
2004-10-25,24.4589035663,3.7431695916,0.0,52.2865241558,0.0
2004-10-26,24.4589035663,10.2937163769,0.0,75.161878474,5.34208420286
2004-10-27,0.0,14.0368859685,0.0,68.6260629545,5.34208420286
2004-10-28,0.0,0.0,0.0,25.0539594913,0.0
2004-10-29,0.0,0.0,0.0,74.0725758874,0.0
2004-10-30,0.0,0.0,0.0,74.0725758874,0.0
2004-10-31,0.0,0.0,0.0,66.4474577813,0.0
2004-11-01,0.0,11.2295087748,0.0,77.3404836471,0.0
2004-11-02,0.0,0.0,0.0,72.9832733008,5.34208420286
2004-11-03,24.4589035663,3.7431695916,0.0,71.8939707142,9.348647355
2004-11-04,24.4589035663,3.7431695916,0.0,40.3041957034,9.348647355
2004-11-05,0.0,3.7431695916,0.0,74.0725758874,5.34208420286
