date,bankruptcy,crisis,debtor,deficit,inflation,liquidation,poverty,recession
2008-06-22,,73.2683522517,,,,,20.0350460567,8.49807670885
2008-06-23,,79.3740482726,,,,,25.7593449301,14.1634611814
2008-06-24,,79.3740482726,,,,,31.4836438034,16.9961534177
2008-06-25,,67.1626562307,,,,,25.7593449301,16.9961534177
2008-06-26,,79.3740482726,,,,,31.4836438034,11.3307689451
2008-06-27,,58.0041121992,,,,,22.8971954934,19.828845654
2008-06-28,,76.3212002621,,,,,11.4485977467,14.1634611814
2008-06-29,,79.3740482726,,,,,31.4836438034,25.4942301265
2008-06-30,,76.3212002621,,,,,37.2079426768,19.828845654
2008-07-01,,91.5854403146,,,,,20.0350460567,16.9961534177
2008-07-02,,64.1098082202,,,,,22.8971954934,19.828845654
2008-07-03,,64.1098082202,,,,,20.0350460567,22.6615378903
2008-07-04,,64.1098082202,,,,,25.7593449301,16.9961534177
2008-07-05,,64.1098082202,,,,,17.1728966201,8.49807670885
2008-07-06,,82.4268962831,,,,,14.3107471834,22.6615378903
2008-07-07,,82.4268962831,,,,,28.6214943668,14.1634611814
2008-07-08,,94.6382883251,,,,,31.4836438034,19.828845654
2008-07-09,,85.4797442936,,,,,28.6214943668,16.9961534177
2008-07-10,,67.1626562307,,,,,22.8971954934,16.9961534177
2008-07-11,,82.4268962831,,,,,28.6214943668,19.828845654
2008-07-12,,85.4797442936,,,,,14.3107471834,16.9961534177
2008-07-13,,97.6911363355,,,,,20.0350460567,16.9961534177
2008-07-14,,82.4268962831,,,,,31.4836438034,22.6615378903
2008-07-15,,91.5854403146,,,,,28.6214943668,22.6615378903
2008-07-16,,67.1626562307,,,,,31.4836438034,25.4942301265
2008-07-17,,79.3740482726,,,,,25.7593449301,22.6615378903
2008-07-18,,76.3212002621,,,,,31.4836438034,16.9961534177
2008-07-19,,61.0569602097,,,,,25.7593449301,8.49807670885
2008-07-20,,70.2155042412,,,,,28.6214943668,14.1634611814
2008-07-21,,64.1098082202,,,,,37.2079426768,16.9961534177
2008-07-22,,73.2683522517,,,,,22.8971954934,22.6615378903
2008-07-23,,64.1098082202,,,,,25.7593449301,16.9961534177
2008-07-24,,70.2155042412,,,,,31.4836438034,22.6615378903
2008-07-25,,70.2155042412,,,,,31.4836438034,19.828845654
2008-07-26,,61.0569602097,,,,,20.0350460567,11.3307689451
2008-07-27,,88.5325923041,,,,,22.8971954934,11.3307689451
2008-07-28,,67.1626562307,,,,,31.4836438034,14.1634611814
2008-07-29,,67.1626562307,,,,,25.7593449301,19.828845654
2008-07-30,,88.5325923041,,,,,37.2079426768,19.828845654
2008-07-31,,70.2155042412,,,,,28.6214943668,19.828845654
2008-08-01,,82.4268962831,,,,,22.8971954934,25.4942301265
2008-08-02,,70.2155042412,,,,,25.7593449301,16.9961534177
2008-08-03,,54.9512641887,,,,,28.6214943668,14.1634611814
2008-08-04,,70.2155042412,,,,,31.4836438034,19.828845654
2008-08-05,,70.2155042412,,,,,31.4836438034,16.9961534177
2008-08-06,,76.3212002621,,,,,25.7593449301,16.9961534177
2008-08-07,,79.3740482726,,,,,28.6214943668,16.9961534177
2008-08-08,,58.0041121992,,,,,28.6214943668,14.1634611814
2008-08-09,,70.2155042412,,,,,17.1728966201,8.49807670885
2008-08-10,,70.2155042412,,,,,17.1728966201,16.9961534177
2008-08-11,,76.3212002621,,,,,31.4836438034,14.1634611814
2008-08-12,,82.4268962831,,,,,22.8971954934,16.9961534177
2008-08-13,,67.1626562307,,,,,31.4836438034,14.1634611814
2008-08-14,,82.4268962831,,,,,31.4836438034,8.49807670885
