date,warfare,waste,bankrupt,bankruptcy,beggar
2004-05-01,11.0,42.1155642925,3.75914099085,23.7832124126,0.0
2004-05-02,8.0,55.0741994594,1.40967787157,38.0531398602,0.0
2004-05-03,26.0,98.2696500158,0.939785247712,72.3009657344,0.0
2004-05-04,26.0,82.0713560571,1.40967787157,59.9336952798,0.0
2004-05-05,25.0,64.7931758346,0.0,51.3717388113,0.0
2004-05-06,29.0,80.9914697932,0.0,56.1283812938,0.0
2004-05-07,23.0,57.2339719872,0.0,48.5177533218,0.0
2004-05-08,24.0,45.3552230842,2.81935574314,31.3938403847,0.0
2004-05-09,24.0,61.5535170429,9.86774510098,17.1239129371,0.0
2004-05-10,24.0,75.5920384737,1.40967787157,51.3717388113,0.0
2004-05-11,25.0,77.7518110015,1.40967787157,74.2036227274,0.0
2004-05-12,23.0,82.0713560571,3.75914099085,59.9336952798,0.0
2004-05-13,22.0,59.393744515,2.34946311928,50.4204103148,0.0
2004-05-14,31.0,77.7518110015,3.28924836699,72.3009657344,0.0
2004-05-15,14.0,49.6747681399,0.0,40.9071253497,0.0
2004-05-16,34.0,79.9115835293,2.81935574314,45.6637678322,0.0
2004-05-17,16.0,105.828853863,1.40967787157,72.3009657344,0.0
2004-05-18,32.0,80.9914697932,2.81935574314,57.0797097903,0.0
2004-05-19,16.0,88.5506736406,4.22903361471,75.1549512239,0.0
2004-05-20,16.0,78.8316972654,1.40967787157,57.0797097903,0.0
2004-05-21,31.0,90.7104461684,4.22903361471,57.0797097903,0.0
2004-05-22,17.0,49.6747681399,2.81935574314,27.5885263986,0.0
2004-05-23,20.0,43.1954505564,2.81935574314,35.1991543707,0.0
2004-05-24,33.0,68.0328346263,1.40967787157,69.4469802449,0.0
2004-05-25,17.0,83.1512423211,0.939785247712,70.3983087414,0.0
2004-05-26,29.0,76.6719247376,2.81935574314,62.7876807693,0.0
2004-05-27,13.0,57.2339719872,2.34946311928,61.8363522728,0.0
2004-05-28,15.0,66.9529483624,2.81935574314,66.5929947554,0.0
2004-05-29,9.0,70.1926071541,2.81935574314,58.9823667833,0.0
2004-05-30,13.0,91.7903324323,1.40967787157,39.9557968532,0.0
2004-05-31,16.0,84.231128585,1.40967787157,34.2478258742,0.0
2004-06-01,24.0,82.0713560571,1.40967787157,59.9336952798,0.0
2004-06-02,8.0,101.509308808,6.10860411013,63.7390092658,0.0
2004-06-03,21.0,74.5121522098,3.75914099085,73.2522942309,0.0
2004-06-04,11.0,63.7132895707,1.87957049542,34.2478258742,0.0
2004-06-05,6.0,90.7104461684,0.0,39.0044683567,0.0
2004-06-06,23.0,45.3552230842,1.40967787157,26.6371979021,0.0
2004-06-07,21.0,50.7546544038,2.34946311928,46.6150963288,0.0
2004-06-08,18.0,76.6719247376,0.939785247712,63.7390092658,0.0
2004-06-09,13.0,76.6719247376,4.69892623856,62.7876807693,0.0
2004-06-10,15.0,63.7132895707,2.34946311928,60.8850237763,0.0
2004-06-11,11.0,64.7931758346,0.0,51.3717388113,0.0
2004-06-12,18.0,50.7546544038,2.81935574314,19.9778984266,0.0
