date,charity,community,compensate,compensation,contribute
2015-06-12,3.94375,86.4075240325,0.0,5.02125,1.61848958333
2015-06-13,3.94375,65.1846233929,0.0,1.2553125,1.61848958333
2015-06-14,3.94375,60.6368589702,0.0,2.510625,1.61848958333
2015-06-15,3.94375,97.0189743523,0.0,5.02125,1.61848958333
2015-06-16,3.94375,93.9871314038,0.0,5.02125,1.61848958333
2015-06-17,3.94375,86.4075240325,0.0,6.2765625,1.61848958333
2015-06-18,3.94375,86.4075240325,0.0,5.02125,1.61848958333
2015-06-19,3.94375,83.375681084,0.0,3.7659375,1.61848958333
2015-06-20,2.62916666667,57.6050160217,0.0,2.510625,0.0
2015-06-21,2.62916666667,54.5731730732,0.0,2.510625,1.61848958333
2015-06-22,3.94375,97.0189743523,0.0,5.02125,1.61848958333
2015-06-23,3.94375,93.9871314038,0.0,5.02125,1.61848958333
2015-06-24,5.25833333333,90.9552884553,0.0,5.02125,1.61848958333
2015-06-25,3.94375,93.9871314038,0.0,5.02125,1.61848958333
2015-06-26,3.94375,84.8916025583,0.0,5.02125,1.61848958333
2015-06-27,2.62916666667,63.6687019187,0.0,2.510625,0.0
2015-06-28,2.62916666667,62.1527804444,0.0,2.510625,1.61848958333
2015-06-29,5.25833333333,98.5348958266,0.0,6.2765625,1.61848958333
2015-06-30,5.25833333333,98.5348958266,0.0,5.02125,1.61848958333
2015-07-01,3.94375,93.9871314038,0.0,5.02125,1.61848958333
2015-07-02,3.94375,87.9234455068,0.0,5.02125,1.61848958333
2015-07-03,3.94375,65.1846233929,0.0,2.510625,1.61848958333
2015-07-04,2.62916666667,53.0572515989,0.0,1.2553125,0.0
2015-07-05,2.62916666667,59.1209374959,0.0,2.510625,0.0
2015-07-06,3.94375,98.5348958266,0.0,5.02125,1.61848958333
2015-07-07,5.25833333333,97.0189743523,0.0,5.02125,1.61848958333
2015-07-08,3.94375,92.4712099295,0.0,5.02125,1.61848958333
2015-07-09,3.94375,93.9871314038,0.0,5.02125,1.61848958333
2015-07-10,3.94375,86.4075240325,0.0,5.02125,1.61848958333
2015-07-11,2.62916666667,60.6368589702,0.0,2.510625,0.0
2015-07-12,3.94375,62.1527804444,0.0,2.510625,0.0
2015-07-13,3.94375,100.050817301,0.0,5.02125,1.61848958333
2015-07-14,3.94375,93.9871314038,0.0,6.2765625,1.61848958333
2015-07-15,3.94375,98.5348958266,0.0,6.2765625,1.61848958333
2015-07-16,3.94375,93.9871314038,0.0,5.02125,1.61848958333
2015-07-17,3.94375,84.8916025583,0.0,5.02125,1.61848958333
2015-07-18,3.94375,60.6368589702,0.0,2.510625,0.0
2015-07-19,3.94375,63.6687019187,0.0,2.510625,1.61848958333
2015-07-20,3.94375,101.566738775,0.0,5.02125,1.61848958333
2015-07-21,3.94375,100.050817301,0.0,6.2765625,1.61848958333
2015-07-22,5.25833333333,95.503052878,0.0,5.02125,1.61848958333
2015-07-23,3.94375,95.503052878,0.0,5.02125,1.61848958333
2015-07-24,3.94375,86.4075240325,0.0,5.02125,1.61848958333
2015-07-25,3.94375,63.6687019187,0.0,2.510625,1.61848958333
2015-07-26,3.94375,62.1527804444,0.0,2.510625,1.61848958333
2015-07-27,3.94375,104.598581724,0.0,5.02125,1.61848958333
2015-07-28,3.94375,100.050817301,0.0,5.02125,1.61848958333
2015-07-29,3.94375,97.0189743523,0.0,5.02125,1.61848958333
2015-07-30,3.94375,95.503052878,0.0,5.02125,1.61848958333
2015-07-31,3.94375,93.9871314038,0.0,5.02125,1.61848958333
2015-08-01,3.94375,69.7323878157,0.0,2.510625,1.61848958333
2015-08-02,3.94375,66.7005448672,0.0,2.510625,0.0
2015-08-03,3.94375,112.178189095,0.0,5.02125,1.61848958333
2015-08-04,3.94375,104.598581724,0.0,5.02125,1.61848958333
2015-08-05,3.94375,103.082660249,0.0,5.02125,1.61848958333
2015-08-06,3.94375,100.050817301,0.0,5.02125,1.61848958333
2015-08-07,3.94375,90.9552884553,0.0,3.7659375,1.61848958333
2015-08-08,2.62916666667,63.6687019187,0.0,2.510625,0.0
2015-08-09,3.94375,63.6687019187,0.0,2.510625,1.61848958333
2015-08-10,3.94375,107.630424672,0.0,5.02125,1.61848958333
2015-08-11,3.94375,104.598581724,0.0,5.02125,1.61848958333
2015-08-12,5.25833333333,103.082660249,0.0,5.02125,1.61848958333
2015-08-13,3.94375,107.630424672,0.0,5.02125,1.61848958333
2015-08-14,3.94375,98.5348958266,0.0,3.7659375,1.61848958333
2015-08-15,2.62916666667,63.6687019187,0.0,2.510625,0.0
2015-08-16,3.94375,68.2164663415,0.0,2.510625,1.61848958333
2015-08-17,3.94375,116.725953518,0.0,5.02125,1.61848958333
2015-08-18,5.25833333333,116.725953518,0.0,5.02125,1.61848958333
2015-08-19,3.94375,110.662267621,0.0,5.02125,1.61848958333
2015-08-20,3.94375,106.114503198,0.0,5.02125,1.61848958333
2015-08-21,3.94375,97.0189743523,0.0,5.02125,1.61848958333
2015-08-22,3.94375,68.2164663415,0.0,2.510625,0.0
2015-08-23,3.94375,72.7642307642,0.0,2.510625,1.61848958333
2015-08-24,5.25833333333,124.305560889,0.0,5.02125,1.61848958333
2015-08-25,3.94375,113.694110569,0.0,5.02125,1.61848958333
2015-08-26,5.25833333333,113.694110569,0.0,5.02125,1.61848958333
2015-08-27,3.94375,107.630424672,0.0,6.2765625,1.61848958333
2015-08-28,3.94375,100.050817301,0.0,5.02125,1.61848958333
2015-08-29,3.94375,68.2164663415,0.0,2.510625,1.61848958333
2015-08-30,2.62916666667,68.2164663415,0.0,2.510625,1.61848958333
2015-08-31,3.94375,113.694110569,0.0,5.02125,1.61848958333
2015-09-01,5.25833333333,113.694110569,0.0,5.02125,1.61848958333
2015-09-02,5.25833333333,106.114503198,0.0,6.2765625,1.61848958333
2015-09-03,5.25833333333,101.566738775,0.0,5.02125,1.61848958333
2015-09-04,3.94375,92.4712099295,0.0,3.7659375,1.61848958333
2015-09-05,2.62916666667,62.1527804444,0.0,2.510625,1.61848958333
2015-09-06,2.62916666667,59.1209374959,0.0,1.2553125,1.61848958333
2015-09-07,3.94375,62.1527804444,0.0,2.510625,1.61848958333
2015-09-08,3.94375,109.146346146,0.0,5.02125,3.23697916667
2015-09-09,3.94375,106.114503198,0.0,5.02125,3.23697916667
2015-09-10,3.94375,103.082660249,0.0,5.02125,3.23697916667
2015-09-11,5.25833333333,93.9871314038,0.0,3.7659375,3.23697916667
2015-09-12,3.94375,68.2164663415,0.0,2.510625,1.61848958333
2015-09-13,3.94375,62.1527804444,0.0,2.510625,1.61848958333
2015-09-14,5.25833333333,106.114503198,0.0,5.02125,3.23697916667
2015-09-15,5.25833333333,101.566738775,0.0,5.02125,3.23697916667
2015-09-16,5.25833333333,101.566738775,0.0,5.02125,3.23697916667
2015-09-17,5.25833333333,97.0189743523,0.0,5.02125,3.23697916667
2015-09-18,5.25833333333,89.439366981,0.0,5.02125,3.23697916667
2015-09-19,3.94375,62.1527804444,0.0,2.510625,1.61848958333
2015-09-20,3.94375,60.6368589702,0.0,2.510625,1.61848958333
2015-09-21,3.94375,98.5348958266,0.0,5.02125,3.23697916667
2015-09-22,5.25833333333,100.050817301,0.0,6.2765625,3.23697916667
2015-09-23,5.25833333333,100.050817301,0.0,6.2765625,3.23697916667
2015-09-24,5.25833333333,98.5348958266,0.0,6.2765625,3.23697916667
2015-09-25,5.25833333333,89.439366981,0.0,5.02125,3.23697916667
2015-09-26,3.94375,62.1527804444,0.0,2.510625,1.61848958333
2015-09-27,3.94375,60.6368589702,0.0,2.510625,1.61848958333
2015-09-28,5.25833333333,97.0189743523,0.0,5.02125,3.23697916667
2015-09-29,5.25833333333,98.5348958266,0.0,6.2765625,3.23697916667
2015-09-30,5.25833333333,101.566738775,0.0,6.2765625,3.23697916667
2015-10-01,5.25833333333,151.592147425,0.0,6.2765625,3.23697916667
2015-10-02,5.25833333333,119.757796466,0.0,5.02125,3.23697916667
2015-10-03,3.94375,69.7323878157,0.0,2.510625,1.61848958333
2015-10-04,5.25833333333,65.1846233929,0.0,2.510625,1.61848958333
2015-10-05,5.25833333333,103.082660249,0.0,5.02125,3.23697916667
2015-10-06,5.25833333333,106.114503198,0.0,6.2765625,3.23697916667
2015-10-07,5.25833333333,98.5348958266,0.0,5.02125,3.23697916667
2015-10-08,5.25833333333,93.9871314038,0.0,6.2765625,3.23697916667
2015-10-09,5.25833333333,84.8916025583,0.0,5.02125,1.61848958333
2015-10-10,3.94375,62.1527804444,0.0,2.510625,1.61848958333
2015-10-11,3.94375,62.1527804444,0.0,1.2553125,1.61848958333
2015-10-12,5.25833333333,95.503052878,0.0,5.02125,3.23697916667
2015-10-13,5.25833333333,95.503052878,0.0,5.02125,3.23697916667
2015-10-14,5.25833333333,93.9871314038,0.0,5.02125,3.23697916667
2015-10-15,5.25833333333,95.503052878,0.0,5.02125,3.23697916667
2015-10-16,5.25833333333,83.375681084,0.0,5.02125,3.23697916667
2015-10-17,5.25833333333,60.6368589702,0.0,2.510625,1.61848958333
