date,expense,expensive,fine,ghetto,intervention,isPartial
2012-12-16,8,47,79,41,12,False
2012-12-17,10,41,77,38,15,False
2012-12-18,12,46,80,35,19,False
2012-12-19,11,45,86,40,13,False
2012-12-20,9,40,76,40,13,False
2012-12-21,8,44,79,43,10,False
2012-12-22,4,42,86,42,9,False
2012-12-23,5,53,77,46,9,False
2012-12-24,6,49,71,55,7,False
2012-12-25,3,57,60,56,5,False
2012-12-26,7,49,76,39,9,False
2012-12-27,10,49,81,40,11,False
2012-12-28,9,48,83,41,11,False
2012-12-29,6,53,86,48,8,False
2012-12-30,5,48,81,44,10,False
2012-12-31,9,50,87,44,10,False
2013-01-01,6,46,69,39,9,False
2013-01-02,10,42,83,38,12,False
2013-01-03,13,46,89,37,14,False
2013-01-04,13,52,82,42,14,False
2013-01-05,9,49,87,46,8,False
2013-01-06,8,56,79,49,9,False
2013-01-07,13,44,85,40,14,False
2013-01-08,12,44,81,40,18,False
2013-01-09,15,44,79,40,18,False
2013-01-10,12,43,85,38,16,False
2013-01-11,12,45,84,40,12,False
2013-01-12,8,44,84,46,9,False
2013-01-13,8,50,78,43,9,False
2013-01-14,14,46,76,40,16,False
2013-01-15,12,43,88,42,17,False
2013-01-16,15,42,83,42,17,False
2013-01-17,15,40,80,43,16,False
2013-01-18,16,41,79,39,15,False
2013-01-19,9,47,80,48,9,False
2013-01-20,8,51,80,42,10,False
2013-01-21,13,43,86,44,14,False
2013-01-22,15,48,82,39,23,False
2013-01-23,15,44,80,37,17,False
2013-01-24,16,44,86,42,16,False
2013-01-25,15,45,77,41,14,False
2013-01-26,12,44,87,45,11,False
2013-01-27,11,51,74,40,15,False
2013-01-28,18,48,80,39,15,False
2013-01-29,19,48,80,39,23,False
2013-01-30,19,41,79,39,20,False
