date,luxury,productive,profit
2014-09-28,83.004900127,2.23951239738,48.776900999
2014-09-29,83.004900127,4.47902479475,84.062318743
2014-09-30,79.0522858353,4.47902479475,85.1001251472
2014-10-01,68.1825965329,5.22552892721,79.911093126
2014-10-02,77.0759786894,2.98601652983,80.9488995303
2014-10-03,64.2299822412,2.98601652983,64.3439970625
2014-10-04,68.1825965329,2.98601652983,48.776900999
2014-10-05,78.0641322623,2.98601652983,52.9281266159
2014-10-06,69.1707501059,5.97203305967,75.7598675091
2014-10-07,68.1825965329,4.47902479475,85.1001251472
2014-10-08,64.2299822412,3.73252066229,91.3269635726
2014-10-09,70.1589036788,5.97203305967,89.2513507641
2014-10-10,66.2062893871,2.98601652983,70.5708354879
2014-10-11,76.0878251165,3.73252066229,46.7012881905
2014-10-12,81.0285929812,2.98601652983,55.0037394244
2014-10-13,79.0522858353,5.22552892721,83.0245123387
2014-10-14,69.1707501059,2.98601652983,95.4781891895
2014-10-15,63.2418286682,4.47902479475,99.6294148065
2014-10-16,66.2062893871,4.47902479475,79.911093126
2014-10-17,66.2062893871,4.47902479475,70.5708354879
2014-10-18,76.0878251165,2.98601652983,55.0037394244
2014-10-19,81.0285929812,3.73252066229,53.9659330202
2014-10-20,75.0996715435,2.98601652983,85.1001251472
2014-10-21,76.0878251165,5.22552892721,97.553801998
2014-10-22,73.1233643976,4.47902479475,94.4403827853
2014-10-23,65.2181358141,5.22552892721,85.1001251472
2014-10-24,75.0996715435,4.47902479475,72.6464482964
2014-10-25,70.1589036788,2.23951239738,48.776900999
2014-10-26,70.1589036788,3.73252066229,51.8903202117
2014-10-27,68.1825965329,5.97203305967,77.8354803176
2014-10-28,70.1589036788,5.22552892721,92.3647699768
2014-10-29,71.1470572518,5.97203305967,103.780640423
2014-10-30,66.2062893871,4.47902479475,84.062318743
2014-10-31,65.2181358141,3.73252066229,74.7220611049
2014-11-01,69.1707501059,1.49300826492,49.8147074032
2014-11-02,74.1115179706,2.98601652983,61.2305778498
2014-11-03,72.1352108247,4.47902479475,81.9867059345
2014-11-04,69.1707501059,3.73252066229,92.3647699768
2014-11-05,68.1825965329,3.73252066229,89.2513507641
2014-11-06,63.2418286682,4.47902479475,83.0245123387
2014-11-07,69.1707501059,3.73252066229,79.911093126
2014-11-08,81.0285929812,3.73252066229,57.0793522329
2014-11-09,76.0878251165,3.73252066229,60.1927714456
2014-11-10,78.0641322623,3.73252066229,76.7976739133
2014-11-11,68.1825965329,4.47902479475,79.911093126
2014-11-12,73.1233643976,4.47902479475,94.4403827853
2014-11-13,69.1707501059,5.97203305967,91.3269635726
2014-11-14,74.1115179706,3.73252066229,71.6086418922
2014-11-15,71.1470572518,3.73252066229,48.776900999
2014-11-16,74.1115179706,4.47902479475,60.1927714456
2014-11-17,68.1825965329,5.22552892721,81.9867059345
2014-11-18,66.2062893871,4.47902479475,90.2891571684
2014-11-19,67.19444296,5.22552892721,95.4781891895
2014-11-20,73.1233643976,3.73252066229,83.0245123387
2014-11-21,68.1825965329,5.22552892721,67.4574162752
2014-11-22,76.0878251165,3.73252066229,53.9659330202
2014-11-23,72.1352108247,3.73252066229,51.8903202117
2014-11-24,62.2536750953,5.22552892721,78.8732867218
2014-11-25,58.3010608035,3.73252066229,79.911093126
2014-11-26,64.2299822412,2.98601652983,61.2305778498
2014-11-27,61.2655215223,2.23951239738,43.5878689778
2014-11-28,71.1470572518,1.49300826492,40.4744497651
2014-11-29,74.1115179706,2.98601652983,56.0415458286
2014-11-30,71.1470572518,4.47902479475,60.1927714456
2014-12-01,70.1589036788,3.73252066229,81.9867059345
2014-12-02,77.0759786894,4.47902479475,95.4781891895
2014-12-03,71.1470572518,4.47902479475,98.5916084022
2014-12-04,74.1115179706,5.97203305967,84.062318743
2014-12-05,64.2299822412,5.22552892721,72.6464482964
2014-12-06,80.0404394082,3.73252066229,49.8147074032
2014-12-07,68.1825965329,3.73252066229,51.8903202117
2014-12-08,71.1470572518,5.22552892721,79.911093126
2014-12-09,70.1589036788,5.97203305967,87.1757379557
2014-12-10,71.1470572518,5.97203305967,99.6294148065
2014-12-11,69.1707501059,5.22552892721,76.7976739133
2014-12-12,73.1233643976,2.23951239738,68.4952226795
2014-12-13,72.1352108247,2.98601652983,45.6634817863
2014-12-14,79.0522858353,3.73252066229,51.8903202117
2014-12-15,70.1589036788,5.22552892721,71.6086418922
2014-12-16,69.1707501059,4.47902479475,80.9488995303
2014-12-17,73.1233643976,4.47902479475,86.1379315514
2014-12-18,69.1707501059,3.73252066229,75.7598675091
2014-12-19,76.0878251165,3.73252066229,52.9281266159
2014-12-20,68.1825965329,2.23951239738,46.7012881905
2014-12-21,77.0759786894,2.23951239738,41.5122561694
2014-12-22,81.0285929812,2.98601652983,55.0037394244
2014-12-23,79.0522858353,2.98601652983,56.0415458286
2014-12-24,66.2062893871,1.49300826492,40.4744497651
2014-12-25,64.2299822412,0.746504132459,31.134192127
2014-12-26,79.0522858353,2.23951239738,46.7012881905
2014-12-27,83.9930537,2.98601652983,39.4366433609
2014-12-28,80.0404394082,3.73252066229,39.4366433609
2014-12-29,78.0641322623,3.73252066229,53.9659330202
2014-12-30,85.9693608459,2.98601652983,62.268384254
2014-12-31,71.1470572518,2.23951239738,48.776900999
2015-01-01,80.0404394082,1.49300826492,38.3988369567
2015-01-02,85.9693608459,2.98601652983,49.8147074032
2015-01-03,87.9456679918,2.98601652983,42.5500625736
2015-01-04,88.9338215647,1.49300826492,40.4744497651
2015-01-05,84.9812072729,5.22552892721,60.1927714456
2015-01-06,79.0522858353,4.47902479475,67.4574162752
2015-01-07,87.9456679918,4.47902479475,74.7220611049
2015-01-08,78.0641322623,2.98601652983,67.4574162752
2015-01-09,71.1470572518,2.98601652983,64.3439970625
2015-01-10,91.8982822835,2.23951239738,51.8903202117
2015-01-11,84.9812072729,3.73252066229,45.6634817863
2015-01-12,76.0878251165,4.47902479475,68.4952226795
