date,capitalize,charitable,charity,community,compensate
2004-05-28,0.0,3.60567512125,6.89130062597,140.597470366,0.0
2004-05-29,0.0,0.0,6.89130062597,112.477976293,0.0
2004-05-30,0.0,0.0,6.89130062597,118.96709031,0.0
2004-05-31,0.0,3.60567512125,3.44565031299,112.477976293,0.0
2004-06-01,0.0,3.60567512125,10.336950939,175.206078457,0.0
2004-06-02,0.0,3.60567512125,13.7826012519,168.71696444,0.0
2004-06-03,0.0,3.60567512125,10.336950939,173.043040451,0.0
2004-06-04,0.0,3.60567512125,10.336950939,147.086584383,0.0
2004-06-05,0.0,3.60567512125,10.336950939,116.804052304,0.0
2004-06-06,0.0,3.60567512125,10.336950939,118.96709031,0.0
2004-06-07,0.0,7.2113502425,10.336950939,160.064812417,0.0
2004-06-08,0.0,3.60567512125,6.89130062597,164.390888428,0.0
2004-06-09,0.0,3.60567512125,6.89130062597,160.064812417,0.0
2004-06-10,0.0,7.2113502425,6.89130062597,142.760508372,0.0
2004-06-11,0.0,3.60567512125,17.2282515649,136.271394355,0.0
2004-06-12,0.0,0.0,6.89130062597,112.477976293,0.0
2004-06-13,0.0,3.60567512125,13.7826012519,116.804052304,0.0
2004-06-14,0.0,3.60567512125,10.336950939,170.880002445,0.0
2004-06-15,0.0,3.60567512125,10.336950939,147.086584383,0.0
2004-06-16,0.0,7.2113502425,10.336950939,153.5756984,0.0
2004-06-17,0.0,7.2113502425,6.89130062597,149.249622389,0.0
2004-06-18,0.0,3.60567512125,13.7826012519,134.10835635,0.0
2004-06-19,0.0,3.60567512125,6.89130062597,123.293166321,0.0
2004-06-20,0.0,0.0,10.336950939,116.804052304,0.0
2004-06-21,0.0,3.60567512125,13.7826012519,179.532154468,0.0
2004-06-22,0.0,3.60567512125,13.7826012519,155.738736406,0.0
2004-06-23,0.0,7.2113502425,13.7826012519,153.5756984,0.0
2004-06-24,0.0,3.60567512125,10.336950939,153.5756984,0.0
2004-06-25,0.0,7.2113502425,10.336950939,149.249622389,0.0
2004-06-26,0.0,0.0,6.89130062597,110.314938288,0.0
2004-06-27,0.0,3.60567512125,6.89130062597,114.641014299,0.0
2004-06-28,0.0,3.60567512125,10.336950939,168.71696444,0.0
2004-06-29,0.0,7.2113502425,13.7826012519,157.901774412,0.0
2004-06-30,0.0,3.60567512125,10.336950939,151.412660395,0.0
2004-07-01,0.0,3.60567512125,13.7826012519,140.597470366,0.0
2004-07-02,0.0,3.60567512125,10.336950939,134.10835635,0.0
2004-07-03,0.0,0.0,10.336950939,93.0106342424,0.0
2004-07-04,0.0,0.0,10.336950939,86.5215202255,0.0
2004-07-05,0.0,7.2113502425,13.7826012519,123.293166321,0.0
2004-07-06,0.0,3.60567512125,13.7826012519,170.880002445,0.0
2004-07-07,0.0,7.2113502425,13.7826012519,160.064812417,0.0
2004-07-08,0.0,7.2113502425,6.89130062597,151.412660395,0.0
2004-07-09,0.0,3.60567512125,10.336950939,129.782280338,0.0
2004-07-10,0.0,3.60567512125,10.336950939,114.641014299,0.0
2004-07-11,0.0,0.0,17.2282515649,101.662786265,0.0
2004-07-12,0.0,3.60567512125,13.7826012519,173.043040451,0.0
2004-07-13,0.0,7.2113502425,13.7826012519,153.5756984,0.0
2004-07-14,0.0,0.0,10.336950939,131.945318344,0.0
2004-07-15,0.0,3.60567512125,10.336950939,155.738736406,0.0
2004-07-16,0.0,7.2113502425,10.336950939,138.434432361,0.0
2004-07-17,0.0,3.60567512125,13.7826012519,114.641014299,0.0
2004-07-18,0.0,3.60567512125,10.336950939,127.619242333,0.0
2004-07-19,0.0,7.2113502425,13.7826012519,179.532154468,0.0
2004-07-20,0.0,7.2113502425,10.336950939,160.064812417,0.0
2004-07-21,0.0,7.2113502425,10.336950939,162.227850423,0.0
2004-07-22,0.0,3.60567512125,13.7826012519,157.901774412,0.0
2004-07-23,0.0,3.60567512125,13.7826012519,131.945318344,0.0
2004-07-24,0.0,3.60567512125,10.336950939,99.4997482594,0.0
2004-07-25,0.0,3.60567512125,6.89130062597,103.825824271,0.0
2004-07-26,0.0,3.60567512125,17.2282515649,155.738736406,0.0
2004-07-27,0.0,7.2113502425,13.7826012519,166.553926434,0.0
2004-07-28,0.0,7.2113502425,10.336950939,151.412660395,0.0
2004-07-29,0.0,3.60567512125,13.7826012519,155.738736406,0.0
2004-07-30,0.0,7.2113502425,13.7826012519,140.597470366,0.0
2004-07-31,0.0,3.60567512125,10.336950939,134.10835635,0.0
2004-08-01,0.0,0.0,6.89130062597,105.988862276,0.0
2004-08-02,0.0,3.60567512125,17.2282515649,194.673420507,0.0
2004-08-03,0.0,7.2113502425,13.7826012519,157.901774412,0.0
2004-08-04,0.0,7.2113502425,13.7826012519,164.390888428,0.0
2004-08-05,0.0,3.60567512125,13.7826012519,179.532154468,0.0
2004-08-06,0.0,3.60567512125,6.89130062597,125.456204327,0.0
2004-08-07,0.0,0.0,3.44565031299,125.456204327,0.0
2004-08-08,0.0,7.2113502425,6.89130062597,114.641014299,0.0
2004-08-09,0.0,7.2113502425,17.2282515649,192.510382502,0.0
2004-08-10,0.0,3.60567512125,10.336950939,173.043040451,0.0
2004-08-11,0.0,3.60567512125,13.7826012519,173.043040451,0.0
2004-08-12,0.0,7.2113502425,13.7826012519,168.71696444,0.0
2004-08-13,0.0,7.2113502425,13.7826012519,142.760508372,0.0
2004-08-14,0.0,3.60567512125,6.89130062597,118.96709031,0.0
2004-08-15,0.0,0.0,6.89130062597,125.456204327,0.0
2004-08-16,0.0,3.60567512125,6.89130062597,190.347344496,0.0
2004-08-17,0.0,7.2113502425,13.7826012519,164.390888428,0.0
2004-08-18,0.0,3.60567512125,6.89130062597,179.532154468,0.0
2004-08-19,0.0,3.60567512125,6.89130062597,173.043040451,0.0
2004-08-20,0.0,3.60567512125,10.336950939,173.043040451,0.0
2004-08-21,0.0,3.60567512125,6.89130062597,127.619242333,0.0
2004-08-22,0.0,0.0,6.89130062597,123.293166321,0.0
2004-08-23,0.0,7.2113502425,10.336950939,207.651648541,0.0
2004-08-24,0.0,7.2113502425,10.336950939,192.510382502,0.0
2004-08-25,0.0,3.60567512125,10.336950939,173.043040451,0.0
2004-08-26,0.0,3.60567512125,10.336950939,164.390888428,0.0
2004-08-27,0.0,3.60567512125,6.89130062597,149.249622389,0.0
2004-08-28,0.0,3.60567512125,10.336950939,114.641014299,0.0
2004-08-29,0.0,3.60567512125,6.89130062597,125.456204327,0.0
2004-08-30,0.0,7.2113502425,10.336950939,179.532154468,0.0
2004-08-31,0.0,7.2113502425,13.7826012519,164.390888428,0.0
2004-09-01,0.0,3.60567512125,10.336950939,155.738736406,0.0
2004-09-02,0.0,3.60567512125,10.336950939,153.5756984,0.0
2004-09-03,0.0,3.60567512125,6.89130062597,134.10835635,0.0
2004-09-04,0.0,3.60567512125,6.89130062597,99.4997482594,0.0
2004-09-05,0.0,3.60567512125,10.336950939,125.456204327,0.0
2004-09-06,0.0,0.0,10.336950939,121.130128316,0.0
2004-09-07,0.0,7.2113502425,13.7826012519,175.206078457,0.0
2004-09-08,0.0,3.60567512125,10.336950939,157.901774412,0.0
2004-09-09,0.0,3.60567512125,6.89130062597,157.901774412,0.0
2004-09-10,0.0,7.2113502425,10.336950939,138.434432361,0.0
2004-09-11,0.0,0.0,5.67379811401,108.151900282,0.0
2004-09-12,0.0,3.44890663772,8.51069717101,116.804052304,0.0
2004-09-13,0.0,6.89781327543,11.347596228,164.390888428,0.0
2004-09-14,0.0,6.89781327543,11.347596228,136.271394355,0.0
2004-09-15,0.0,3.44890663772,11.347596228,144.923546378,0.0
2004-09-16,0.0,3.44890663772,8.51069717101,138.434432361,0.0
2004-09-17,0.0,3.44890663772,8.51069717101,127.619242333,0.0
2004-09-18,0.0,3.44890663772,5.67379811401,95.1736722481,0.0
2004-09-19,0.0,0.0,8.51069717101,105.988862276,0.0
2004-09-20,0.0,3.44890663772,11.347596228,153.5756984,0.0
