date,backward,backwardness,broke,cheap,colony
2004-08-16,0.0,0,2.08097983702,110.686166385,8.58255837107
2004-08-17,0.0,0,2.08097983702,104.86057868,8.58255837107
2004-08-18,0.0,0,2.08097983702,112.142563311,6.43691877831
2004-08-19,0.0,0,4.16195967403,104.86057868,10.7281979638
2004-08-20,0.0,0,0.0,104.86057868,12.8738375566
2004-08-21,0.0,0,2.08097983702,115.055357163,2.14563959277
2004-08-22,0.0,0,2.08097983702,109.229769459,6.43691877831
2004-08-23,0.0,0,0.0,100.491387902,8.58255837107
2004-08-24,0.0,0,0.0,104.86057868,8.58255837107
2004-08-25,0.0,0,2.08097983702,110.686166385,6.43691877831
2004-08-26,0.0,0,2.08097983702,110.686166385,8.58255837107
2004-08-27,0.0,0,4.16195967403,106.316975606,12.8738375566
2004-08-28,0.0,0,4.16195967403,116.511754089,6.43691877831
2004-08-29,0.0,0,0.0,107.773372533,8.58255837107
2004-08-30,0.0,0,2.08097983702,110.686166385,8.58255837107
2004-08-31,0.0,0,0.0,104.86057868,10.7281979638
2004-09-01,0.0,0,2.08097983702,106.316975606,10.7281979638
2004-09-02,0.0,0,0.0,99.0349909759,10.7281979638
2004-09-03,0.0,0,2.08097983702,97.5785940498,8.58255837107
2004-09-04,0.0,0,2.08097983702,110.686166385,8.58255837107
2004-09-05,0.0,0,4.16195967403,113.598960237,10.7281979638
2004-09-06,0.0,0,4.16195967403,116.511754089,6.43691877831
2004-09-07,0.0,0,2.08097983702,99.0349909759,8.58255837107
2004-09-08,0.0,0,2.08097983702,90.2966094192,10.7281979638
2004-09-09,0.0,0,2.08097983702,87.383815567,8.58255837107
2004-09-10,0.0,0,4.16195967403,99.0349909759,10.7281979638
2004-09-11,0.0,0,1.8795946915,108.77973505,10.5194781591
2004-09-12,0.0,0,3.759189383,101.190451209,8.76623179925
2004-09-13,0.0,0,1.8795946915,97.3958092887,14.0259708788
2004-09-14,0.0,0,1.8795946915,98.6606899288,8.76623179925
2004-09-15,0.0,0,1.8795946915,106.249973769,8.76623179925
2004-09-16,0.0,0,3.759189383,88.5416448079,12.2727245189
2004-09-17,0.0,0,1.8795946915,88.5416448079,8.76623179925
2004-09-18,0.0,0,3.759189383,102.455331849,12.2727245189
2004-09-19,0.0,0,1.8795946915,108.77973505,12.2727245189
2004-09-20,0.0,0,1.8795946915,89.806525448,12.2727245189
2004-09-21,0.0,0,1.8795946915,93.6011673683,14.0259708788
2004-09-22,0.0,0,1.8795946915,88.5416448079,12.2727245189
2004-09-23,0.0,0,1.8795946915,86.0118835276,10.5194781591
2004-09-24,0.0,0,1.8795946915,86.0118835276,12.2727245189
2004-09-25,0.0,0,0.0,97.3958092887,5.25973907955
2004-09-26,0.0,0,1.8795946915,125.223183371,12.2727245189
2004-09-27,0.0,0,1.8795946915,96.1309286485,10.5194781591
2004-09-28,0.0,0,1.8795946915,93.6011673683,10.5194781591
2004-09-29,0.0,0,3.759189383,96.1309286485,12.2727245189
2004-09-30,0.0,0,1.8795946915,86.0118835276,10.5194781591
2004-10-01,0.0,0,1.8795946915,97.3958092887,8.76623179925
2004-10-02,0.0,0,1.8795946915,115.10413825,7.0129854394
2004-10-03,0.0,0,3.759189383,104.985093129,10.5194781591
2004-10-04,0.0,0,1.8795946915,89.806525448,10.5194781591
2004-10-05,0.0,0,1.8795946915,94.8660480084,12.2727245189
2004-10-06,0.0,0,3.759189383,84.7470028875,12.2727245189
2004-10-07,0.0,0,1.8795946915,84.7470028875,10.5194781591
2004-10-08,0.0,0,1.8795946915,84.7470028875,12.2727245189
2004-10-09,0.0,0,1.8795946915,116.36901889,7.0129854394
2004-10-10,0.0,0,1.8795946915,110.04461569,8.76623179925
2004-10-11,0.0,0,1.8795946915,99.9255705689,8.76623179925
2004-10-12,0.0,0,0.0,111.30949633,5.25973907955
2004-10-13,0.0,0,1.8795946915,84.7470028875,10.5194781591
2004-10-14,0.0,0,1.8795946915,86.0118835276,12.2727245189
2004-10-15,0.0,0,0.0,78.422599687,12.2727245189
2004-10-16,0.0,0,0.0,104.985093129,8.76623179925
2004-10-17,0.0,0,1.8795946915,107.51485441,7.0129854394
2004-10-18,0.0,0,1.8795946915,88.5416448079,12.2727245189
2004-10-19,0.0,0,0.0,87.2767641678,7.0129854394
2004-10-20,0.0,0,3.759189383,87.2767641678,7.0129854394
2004-10-21,0.0,0,1.8795946915,92.3362867282,10.5194781591
2004-10-22,0.0,0,3.759189383,80.9523609672,7.0129854394
2004-10-23,0.0,0,3.759189383,108.77973505,8.76623179925
2004-10-24,0.0,0,5.6387840745,116.36901889,8.76623179925
2004-10-25,0.0,0,1.8795946915,86.0118835276,8.76623179925
2004-10-26,0.0,0,1.8795946915,104.985093129,8.76623179925
2004-10-27,0.0,0,1.8795946915,93.6011673683,5.25973907955
2004-10-28,0.0,0,3.759189383,86.0118835276,8.76623179925
2004-10-29,0.0,0,1.8795946915,96.1309286485,7.0129854394
2004-10-30,0.0,0,1.8795946915,99.9255705689,5.25973907955
2004-10-31,0.0,0,1.8795946915,79.6874803271,10.5194781591
2004-11-01,0.0,0,1.8795946915,78.422599687,8.76623179925
2004-11-02,0.0,0,1.8795946915,86.0118835276,7.0129854394
2004-11-03,0.0,0,1.8795946915,75.8928384067,8.76623179925
2004-11-04,0.0,0,1.8795946915,93.6011673683,10.5194781591
2004-11-05,0.0,0,1.8795946915,84.7470028875,8.76623179925
2004-11-06,0.0,0,1.8795946915,96.1309286485,5.25973907955
