date,unprofitable,vagabond,vagrant,abundance,accrue,isPartial
2016-06-17,0,31,26,32,16,False
2016-06-18,0,31,11,22,10,False
2016-06-19,0,24,21,27,2,False
2016-06-20,0,39,34,38,5,False
2016-06-21,0,49,30,29,7,False
2016-06-22,0,32,32,29,7,False
2016-06-23,1,32,40,35,17,False
2016-06-24,1,34,24,31,16,False
2016-06-25,1,45,20,38,2,False
2016-06-26,0,28,15,26,4,False
2016-06-27,0,25,31,32,14,False
2016-06-28,1,34,25,28,7,False
2016-06-29,0,34,23,28,8,False
2016-06-30,1,38,30,26,9,False
2016-07-01,0,33,32,28,12,False
2016-07-02,0,37,16,25,5,False
2016-07-03,1,40,17,28,3,False
2016-07-04,1,31,16,24,6,False
2016-07-05,2,25,16,31,12,False
2016-07-06,1,24,35,42,16,False
2016-07-07,1,28,29,33,8,False
2016-07-08,0,38,24,29,14,False
2016-07-09,0,37,18,20,5,False
2016-07-10,0,32,23,24,5,False
2016-07-11,0,37,26,26,12,False
2016-07-12,0,41,38,35,9,False
2016-07-13,0,34,34,23,13,False
2016-07-14,0,32,37,25,14,False
2016-07-15,1,21,41,20,12,False
2016-07-16,0,37,14,25,4,False
2016-07-17,2,40,22,21,7,False
2016-07-18,1,22,31,35,6,False
2016-07-19,0,35,43,28,14,False
2016-07-20,1,33,32,29,15,False
2016-07-21,1,33,32,27,12,False
2016-07-22,1,35,22,32,9,False
2016-07-23,1,40,18,25,4,False
