date,radical,ruin,segregation,shortage,steal
2012-02-10,59.0439816882,35.4060163523,72.2178450038,56.9997667615,66.9368643956
2012-02-11,40.8766027072,21.9761480808,18.723145001,64.772462229,73.861367609
2012-02-12,51.095753384,29.3015307743,45.4704950024,54.4088682723,80.7858708223
2012-02-13,51.095753384,29.3015307743,74.8925800039,82.9087516531,70.3991160023
2012-02-14,72.669515924,34.1851192367,69.5431100036,98.454142588,69.2450321334
2012-02-15,62.4503652472,25.6388394276,72.2178450038,119.181330501,80.7858708223
2012-02-16,57.9085205019,29.3015307743,61.5189050032,108.817736545,72.7072837401
2012-02-17,52.2312145703,35.4060163523,58.8441700031,106.226838055,64.6286966578
2012-02-18,39.7411415209,29.3015307743,29.4220850015,75.1360561856,69.2450321334
2012-02-19,51.095753384,35.4060163523,34.7715550018,56.9997667615,80.7858708223
2012-02-20,53.3666757567,32.9642221211,58.8441700031,62.1815637398,73.861367609
2012-02-21,59.0439816882,26.8597365431,58.8441700031,90.6814471205,66.9368643956
2012-02-22,66.9922099924,31.7433250055,77.567315004,72.5451576964,61.1664450512
2012-02-23,54.502136943,29.3015307743,56.1694350029,72.5451576964,72.7072837401
2012-02-24,54.502136943,29.3015307743,56.1694350029,56.9997667615,73.861367609
2012-02-25,42.0120638935,25.6388394276,37.446290002,49.227071294,76.1695353467
2012-02-26,56.7730593156,45.1731932771,40.1210250021,49.227071294,90.0185417734
2012-02-27,77.2113606692,36.6269134679,50.8199650026,75.1360561856,66.9368643956
2012-02-28,62.4503652472,28.0806336587,82.9167850043,62.1815637398,79.6317869534
2012-02-29,63.5858264335,29.3015307743,56.1694350029,64.772462229,61.1664450512
2012-03-01,76.0758994829,30.5224278899,69.5431100036,77.7269546747,70.3991160023
2012-03-02,68.1276711787,30.5224278899,50.8199650026,67.3633607181,68.0909482645
2012-03-03,55.6375981293,31.7433250055,21.3978800011,51.8179697832,84.248122429
2012-03-04,56.7730593156,24.417942312,42.7957600022,36.2725788482,80.7858708223
