date,privileged,productive,productivity,profit,profitable
2010-10-20,8.92850309846,2.0,12.9384226421,97.9829192373,4.89499809704
2010-10-21,5.95233539897,4.0,14.9289492024,93.3170659403,8.56624666981
2010-10-22,5.95233539897,5.0,8.95736952143,80.4859693735,7.34249714555
2010-10-23,11.9046707979,4.0,5.97157968095,45.4920696459,6.11874762129
2010-10-24,2.97616769949,3.0,9.95263280159,48.9914596187,6.11874762129
2010-10-25,5.95233539897,6.0,9.95263280159,89.8176759676,6.11874762129
2010-10-26,8.92850309846,5.0,13.9336859222,104.981699183,4.89499809704
2010-10-27,2.97616769949,4.0,5.97157968095,99.1493825616,8.56624666981
2010-10-28,2.97616769949,5.0,11.9431593619,93.3170659403,7.34249714555
2010-10-29,8.92850309846,5.0,7.96210624127,82.818896022,6.11874762129
2010-10-30,5.95233539897,3.0,4.97631640079,52.4908495914,4.89499809704
2010-10-31,5.95233539897,2.0,4.97631640079,53.6573129157,8.56624666981
2010-11-01,11.9046707979,4.0,7.96210624127,86.3182859948,7.34249714555
2010-11-02,2.97616769949,7.0,11.9431593619,87.4847493191,6.11874762129
2010-11-03,2.97616769949,6.0,8.95736952143,104.981699183,3.67124857278
2010-11-04,8.92850309846,5.0,11.9431593619,85.1518226706,6.11874762129
2010-11-05,5.95233539897,2.0,10.9478960817,86.3182859948,6.11874762129
2010-11-06,5.95233539897,2.0,3.98105312063,57.1567028885,2.44749904852
2010-11-07,5.95233539897,5.0,7.96210624127,57.1567028885,12.2374952426
2010-11-08,2.97616769949,6.0,11.9431593619,92.1506026161,4.89499809704
2010-11-09,5.95233539897,4.0,9.95263280159,89.8176759676,7.34249714555
2010-11-10,2.97616769949,5.0,9.95263280159,99.1493825616,4.89499809704
2010-11-11,2.97616769949,3.0,10.9478960817,78.153042725,7.34249714555
2010-11-12,5.95233539897,6.0,7.96210624127,80.4859693735,4.89499809704
2010-11-13,2.97616769949,3.0,3.98105312063,51.3243862672,3.67124857278
2010-11-14,2.97616769949,3.0,5.97157968095,59.489629537,6.11874762129
2010-11-15,5.95233539897,4.0,11.9431593619,86.3182859948,6.11874762129
2010-11-16,8.92850309846,5.0,11.9431593619,102.648772534,7.34249714555
2010-11-17,5.95233539897,3.0,11.9431593619,96.8164559131,7.34249714555
2010-11-18,2.97616769949,4.0,14.9289492024,88.6512126433,7.34249714555
2010-11-19,5.95233539897,2.0,6.96684296111,71.1542627795,7.34249714555
2010-11-20,2.97616769949,4.0,9.95263280159,38.4932897004,3.67124857278
2010-11-21,8.92850309846,4.0,8.95736952143,59.489629537,4.89499809704
2010-11-22,8.92850309846,6.0,6.96684296111,80.4859693735,4.89499809704
2010-11-23,5.95233539897,4.0,12.9384226421,76.9865794008,3.67124857278
2010-11-24,2.97616769949,4.0,7.96210624127,67.6548728067,3.67124857278
2010-11-25,2.97616769949,2.0,4.97631640079,34.9938997276,2.44749904852
2010-11-26,2.97616769949,1.0,1.99052656032,38.4932897004,3.67124857278
2010-11-27,2.97616769949,1.0,2.98578984048,58.3231662127,3.67124857278
2010-11-28,2.97616769949,4.0,8.95736952143,55.9902395642,3.67124857278
2010-11-29,5.95233539897,2.0,8.95736952143,82.818896022,4.89499809704
2010-11-30,5.95233539897,2.0,9.95263280159,89.8176759676,6.11874762129
2010-12-01,8.92850309846,3.0,11.9431593619,99.1493825616,3.67124857278
2010-12-02,2.97616769949,6.0,8.95736952143,101.48230921,3.67124857278
2010-12-03,0.0,5.0,10.9478960817,69.9877994552,6.11874762129
2010-12-04,2.97616769949,1.0,9.95263280159,67.6548728067,3.67124857278
2010-12-05,2.97616769949,3.0,6.96684296111,64.155482834,4.89499809704
2010-12-06,0.0,7.0,13.9336859222,99.1493825616,3.67124857278
2010-12-07,5.95233539897,5.0,10.9478960817,95.6499925888,6.11874762129
2010-12-08,8.92850309846,3.0,7.96210624127,101.48230921,6.11874762129
2010-12-09,5.95233539897,5.0,8.95736952143,88.6512126433,6.11874762129
2010-12-10,5.95233539897,3.0,8.95736952143,75.8201160765,4.89499809704
2010-12-11,5.95233539897,4.0,6.96684296111,50.1579229429,6.11874762129
2010-12-12,5.95233539897,2.0,4.97631640079,58.3231662127,6.11874762129
2010-12-13,8.92850309846,6.0,5.97157968095,75.8201160765,3.67124857278
2010-12-14,8.92850309846,1.0,11.9431593619,93.3170659403,4.89499809704
2010-12-15,5.30883968017,4.0,11.9431593619,85.7885096759,1.96948791834
2010-12-16,3.53922645344,4.0,8.95736952143,69.4995521425,4.92371979584
2010-12-17,3.53922645344,4.0,8.95736952143,68.4136216402,4.92371979584
2010-12-18,1.76961322672,5.0,5.97157968095,65.1558301336,1.96948791834
2010-12-19,1.76961322672,5.0,4.97631640079,53.2105946091,3.93897583668
2010-12-20,3.53922645344,2.0,4.97631640079,73.8432741514,3.93897583668
2010-12-21,0.0,2.0,5.97157968095,67.327691138,3.93897583668
2010-12-22,3.53922645344,3.0,4.97631640079,65.1558301336,4.92371979584
2010-12-23,1.76961322672,5.0,2.98578984048,51.0387336046,2.95423187751
2010-12-24,0.0,2.0,1.99052656032,27.1482625556,1.96948791834
2010-12-25,0.0,4.0,2.98578984048,29.3201235601,4.92371979584
2010-12-26,3.53922645344,2.0,0.995263280159,36.9216370757,3.93897583668
2010-12-27,3.53922645344,4.0,3.98105312063,48.8668726002,3.93897583668
2010-12-28,5.30883968017,3.0,5.97157968095,55.3824556135,3.93897583668
2010-12-29,0.0,6.0,7.96210624127,49.9528031024,5.90846375501
2010-12-30,5.30883968017,5.0,5.97157968095,52.1246641068,3.93897583668
2010-12-31,1.76961322672,8.19270833333,4.82858200764,32.5779150668,2.95423187751
2011-01-01,3.53922645344,3.27708333333,1.93143280306,41.2653590846,2.95423187751
2011-01-02,1.76961322672,3.27708333333,7.72573121223,54.2965251113,6.89320771418
2011-01-03,1.76961322672,8.19270833333,6.7600148107,74.9292046536,6.89320771418
2011-01-04,3.53922645344,4.915625,9.65716401529,82.5307181692,3.93897583668
2011-01-05,1.76961322672,6.55416666667,8.69144761376,80.3588571647,1.96948791834
2011-01-06,1.76961322672,4.915625,7.72573121223,90.1322316848,4.92371979584
2011-01-07,7.07845290689,6.55416666667,8.69144761376,73.8432741514,4.92371979584
2011-01-08,3.53922645344,4.915625,4.82858200764,57.554316618,2.95423187751
2011-01-09,1.76961322672,1.63854166667,2.89714920459,65.1558301336,4.92371979584
2011-01-10,0.0,4.915625,5.79429840917,77.101065658,5.90846375501
2011-01-11,3.53922645344,8.19270833333,6.7600148107,82.5307181692,4.92371979584
2011-01-12,3.53922645344,6.55416666667,6.7600148107,85.7885096759,5.90846375501
2011-01-13,3.53922645344,8.19270833333,12.5543132199,86.8744401781,3.93897583668
2011-01-14,3.53922645344,6.55416666667,9.65716401529,87.9603706803,6.89320771418
2011-01-15,3.53922645344,6.55416666667,2.89714920459,60.8121081247,8.86269563252
2011-01-16,3.53922645344,6.55416666667,7.72573121223,53.2105946091,5.90846375501
2011-01-17,3.53922645344,11.4697916667,7.72573121223,81.4447876669,2.95423187751
2011-01-18,3.53922645344,11.4697916667,8.69144761376,85.7885096759,5.90846375501
2011-01-19,1.76961322672,6.55416666667,9.65716401529,91.218162187,6.89320771418
2011-01-20,3.53922645344,8.19270833333,6.7600148107,103.163397711,3.93897583668
2011-01-21,1.76961322672,6.55416666667,7.72573121223,89.0463011825,3.93897583668
2011-01-22,0.0,8.19270833333,3.86286560612,59.7261776224,5.90846375501
2011-01-23,1.76961322672,6.55416666667,5.79429840917,61.8980386269,5.90846375501
2011-01-24,0.0,9.83125,12.5543132199,94.4759536937,4.92371979584
2011-01-25,1.76961322672,11.4697916667,7.72573121223,102.077467209,6.89320771418
2011-01-26,5.30883968017,3.27708333333,10.6228804168,95.5618841959,5.90846375501
2011-01-27,5.30883968017,6.55416666667,9.65716401529,91.218162187,5.90846375501
2011-01-28,3.53922645344,11.4697916667,10.6228804168,93.3900231914,4.92371979584
2011-01-29,1.76961322672,8.19270833333,7.72573121223,66.2417606358,4.92371979584
2011-01-30,3.53922645344,8.19270833333,8.69144761376,66.2417606358,4.92371979584
2011-01-31,5.30883968017,13.1083333333,9.65716401529,92.3040926892,5.90846375501
2011-02-01,5.30883968017,6.55416666667,7.72573121223,105.335258716,2.95423187751
2011-02-02,5.30883968017,6.55416666667,9.65716401529,92.3040926892,3.93897583668
2011-02-03,5.30883968017,9.83125,10.6228804168,91.218162187,3.93897583668
2011-02-04,3.53922645344,8.19270833333,8.69144761376,83.6166486714,3.93897583668
2011-02-05,3.53922645344,4.915625,4.82858200764,67.327691138,2.95423187751
2011-02-06,1.76961322672,13.1083333333,8.69144761376,72.7573436491,4.92371979584
2011-02-07,5.30883968017,9.83125,8.69144761376,90.1322316848,4.92371979584
2011-02-08,3.53922645344,8.19270833333,9.65716401529,96.6478146981,3.93897583668
2011-02-09,5.30883968017,9.83125,12.5543132199,97.7337452003,3.93897583668
2011-02-10,5.30883968017,3.27708333333,8.69144761376,103.163397711,3.93897583668
2011-02-11,3.53922645344,6.55416666667,7.72573121223,82.5307181692,4.92371979584
2011-02-12,1.76961322672,1.63854166667,5.79429840917,56.4683861158,3.93897583668
2011-02-13,5.30883968017,8.19270833333,9.65716401529,72.7573436491,6.89320771418
2011-02-14,8.84806613361,4.915625,10.6228804168,90.1322316848,3.93897583668
2011-02-15,5.30883968017,9.83125,7.72573121223,99.9056062048,6.89320771418
2011-02-16,3.53922645344,11.4697916667,10.6228804168,90.1322316848,6.89320771418
2011-02-17,3.53922645344,8.19270833333,11.5885968183,94.4759536937,6.89320771418
2011-02-18,3.53922645344,9.83125,11.5885968183,89.0463011825,3.93897583668
2011-02-19,5.30883968017,6.55416666667,6.7600148107,60.8121081247,7.87795167335
2011-02-20,1.76961322672,6.55416666667,6.7600148107,61.8980386269,4.92371979584
2011-02-21,3.53922645344,6.55416666667,8.69144761376,97.7337452003,5.90846375501
2011-02-22,0.0,8.19270833333,9.65716401529,95.5618841959,4.92371979584
2011-02-23,7.07845290689,6.55416666667,10.6228804168,103.163397711,4.92371979584
2011-02-24,3.53922645344,8.19270833333,11.5885968183,98.8196757026,5.90846375501
2011-02-25,3.53922645344,9.83125,5.79429840917,89.0463011825,5.90846375501
2011-02-26,3.53922645344,6.55416666667,6.7600148107,65.1558301336,5.90846375501
2011-02-27,3.53922645344,8.19270833333,8.69144761376,71.6714131469,3.93897583668
2011-02-28,1.76961322672,9.83125,15.4514624245,94.4759536937,7.87795167335
2011-03-01,5.30883968017,9.83125,12.5543132199,108.593050223,4.92371979584
2011-03-02,5.30883968017,11.4697916667,10.6228804168,94.4759536937,5.90846375501
2011-03-03,5.30883968017,9.83125,9.65716401529,95.5618841959,5.90846375501
2011-03-04,1.76961322672,8.19270833333,9.65716401529,94.4759536937,6.89320771418
2011-03-05,3.53922645344,4.915625,8.69144761376,70.5854826447,5.90846375501
2011-03-06,5.30883968017,6.55416666667,8.69144761376,64.0698996313,3.93897583668
2011-03-07,5.30883968017,9.83125,9.65716401529,105.335258716,3.93897583668
